DISTRICT ,BARANGAY_original,BARANGAY
DISTRICT 1,Alicia,Alicia
DISTRICT 1,Bagong Pag-asa,Bagong Pag-asa
DISTRICT 1,Bahay Toro,Bahay Toro
DISTRICT 1,Balingasa,Balingasa
DISTRICT 1,Bungad,Bungad
DISTRICT 1,Damar,Damar
DISTRICT 1,Damayan,Damayan
DISTRICT 1,Del Monte,Del Monte
DISTRICT 1,Katipunan,Katipunan
DISTRICT 1,Lourdes,Lourdes
DISTRICT 1,Maharlika,Maharlika
DISTRICT 1,Manresa,Manresa
DISTRICT 1,Mariblo,Mariblo
DISTRICT 1,Masambong,Masambong
DISTRICT 1,Nayong Kanluran,Nayong Kanluran
DISTRICT 1,N.S. Amoranto,N. S. Amoranto (Gintong Silahis)
DISTRICT 1,Paang Bundok,Paang Bundok
DISTRICT 1,Pag-ibig sa Nayon,Pag-ibig sa Nayon
DISTRICT 1,Paltok,Paltok
DISTRICT 1,Paraiso,Paraiso
DISTRICT 1,Phil-Am,Phil-Am
DISTRICT 1,Project 6,Project 6
DISTRICT 1,Ramon Magsaysay,Ramon Magsaysay
DISTRICT 1,Saint Peter,St. Peter
DISTRICT 1,Salvacion,Salvacion
DISTRICT 1,San Antonio,San Antonio
DISTRICT 1,San Isidro Labrador,San Isidro Labrador
DISTRICT 1,San Jose,San Jose
DISTRICT 1,Sta. Cruz,Sta. Cruz
DISTRICT 1,Sta. Teresita,Sta. Teresita
DISTRICT 1,Sto. Cristo,Sto. Cristo
DISTRICT 1,Sto. Domingo,Sto. Domingo (Matalahib)
DISTRICT 1,Sienna,Sienna
DISTRICT 1,Talayan,Talayan
DISTRICT 1,Vasra,Vasra
DISTRICT 1,Veterans Village,Veterans Village
DISTRICT 1,West Triangle,West Triangle
DISTRICT 2,Holy Spirit,Holy Spirit
DISTRICT 2,Bagong Silangan,Bagong Silangan
DISTRICT 2,Batasan Hills,Batasan Hills
DISTRICT 2,Commonwealth,Commonwealth
DISTRICT 2,Payatas ,Payatas
DISTRICT 3,Silangan,Silangan
DISTRICT 3,Amihan,Amihan
DISTRICT 3,Bagumbayan,Bagumbayan
DISTRICT 3,Bagumbuhay,Bagumbuhay
DISTRICT 3,Bayanihan,Bayanihan
DISTRICT 3,Blue Ridge A,Blue Ridge A
DISTRICT 3,Blue Ridge B,Blue Ridge B
DISTRICT 3,Camp Aguinaldo,Camp Aguinaldo
DISTRICT 3,Dioquino Zobel,Dioquino Zobel
DISTRICT 3,Duyan-duyan,Duyan-duyan
DISTRICT 3,E. Rodriguez Sr.,E. Rodriguez
DISTRICT 3,East Kamias,East Kamias
DISTRICT 3,Escopa 1,Escopa 1
DISTRICT 3,Escopa 2,Escopa 2
DISTRICT 3,Escopa 3,Escopa 3
DISTRICT 3,Escopa 4,Escopa 4
DISTRICT 3,Libis,Libis
DISTRICT 3,Loyola Heights,Loyola Heights
DISTRICT 3,Mangga,Mangga
DISTRICT 3,Marilag,Marilag
DISTRICT 3,Masagana,Masagana
DISTRICT 3,Matandang Balara,Matandang Balara
DISTRICT 3,Milagrosa,Milagrosa
