district,barangay,count
DISTRICT 1,Alicia,1
DISTRICT 1,Bagong Pag-asa,1
DISTRICT 1,Bahay Toro,1
DISTRICT 1,Balingasa,1
DISTRICT 1,Bungad,1
DISTRICT 1,Damar,1
DISTRICT 1,Damayan,1
DISTRICT 1,Del Monte,1
DISTRICT 1,Katipunan,1
DISTRICT 1,Lourdes,1
DISTRICT 1,Maharlika,1
DISTRICT 1,Manresa,1
DISTRICT 1,Mariblo,1
DISTRICT 1,Masambong,1
DISTRICT 1,Nayong Kanluran,1
DISTRICT 1,N.S. Amoranto,1
DISTRICT 1,Paang Bundok,1
DISTRICT 1,Pag-ibig sa Nayon,1
DISTRICT 1,Paltok,1
DISTRICT 1,Paraiso,1
DISTRICT 1,Phil-Am,1
DISTRICT 1,Project 6,1
DISTRICT 1,Ramon Magsaysay,1
DISTRICT 1,Saint Peter,1
DISTRICT 1,Salvacion,1
DISTRICT 1,San Antonio,1
DISTRICT 1,San Isidro Labrador,1
DISTRICT 1,San Jose,1
DISTRICT 1,Sta. Cruz,1
DISTRICT 1,Sta. Teresita,1
DISTRICT 1,Sto. Cristo,1
DISTRICT 1,Sto. Domingo,1
DISTRICT 1,Sienna,1
DISTRICT 1,Talayan,1
DISTRICT 1,Vasra,1
DISTRICT 1,Veterans Village,1
DISTRICT 1,West Triangle,1
DISTRICT 2,Holy Spirit,1
DISTRICT 2,Bagong Silangan,1
DISTRICT 2,Batasan Hills,1
DISTRICT 2,Commonwealth,1
DISTRICT 2,Payatas ,1
DISTRICT 3,Silangan,1
DISTRICT 3,Amihan,1
DISTRICT 3,Bagumbayan,1
DISTRICT 3,Bagumbuhay,1
DISTRICT 3,Bayanihan,1
DISTRICT 3,Blue Ridge A,1
DISTRICT 3,Blue Ridge B,1
DISTRICT 3,Camp Aguinaldo,1
DISTRICT 3,Dioquino Zobel,1
DISTRICT 3,Duyan-duyan,1
DISTRICT 3,E. Rodriguez Sr.,1
DISTRICT 3,East Kamias,1
DISTRICT 3,Escopa 1,1
DISTRICT 3,Escopa 2,1
DISTRICT 3,Escopa 3,1
DISTRICT 3,Escopa 4,1
DISTRICT 3,Libis,1
DISTRICT 3,Loyola Heights,1
DISTRICT 3,Mangga,1
DISTRICT 3,Marilag,1
DISTRICT 3,Masagana,1
DISTRICT 3,Matandang Balara,1
DISTRICT 3,Milagrosa,1
DISTRICT 3,Pansol,1
DISTRICT 3,Quirino 2A,1
DISTRICT 3,Quirino 2B,1
DISTRICT 3,Quirino 2C,1
DISTRICT 3,Quirino 3-A,1
DISTRICT 3,Quirino 3B/ Claro,1
DISTRICT 3,Saint Ignatius,1
DISTRICT 3,San Roque,1
DISTRICT 3,Socorro,1
DISTRICT 3,Villa Maria Clara,1
DISTRICT 3,West Kamias,1
DISTRICT 3,Ugong Norte,1
DISTRICT 3,White Plains,1
DISTRICT 3,Tagumpay,1
DISTRICT 4,Bagong Lipunan Ng Crame,1
DISTRICT 4,Botocan,1
DISTRICT 4,Central,1
DISTRICT 4,Damayang Lagi,1
DISTRICT 4,Don Manuel,1
DISTRICT 4,Doña Aurora,1
DISTRICT 4,Doña Imelda,1
DISTRICT 4,Doña Josefa,1
DISTRICT 4,Horseshoe,1
DISTRICT 4,Immaculate Concepcion,1
DISTRICT 4,Kalusugan,1
DISTRICT 4,Kamuning,1
DISTRICT 4,Kaunlaran,1
DISTRICT 4,Kristong Hari,1
DISTRICT 4,Krus na Ligas,1
DISTRICT 4,Laging Handa,1
DISTRICT 4,Malaya,1
DISTRICT 4,Mariana,1
DISTRICT 4,Obrero,1
DISTRICT 4,Old Capitol Site,1
DISTRICT 4,Paligsahan,1
DISTRICT 4,Pinagkaisahan,1
DISTRICT 4,Pinyahan,1
DISTRICT 4,Roxas,1
DISTRICT 4,Sacred Heart,1
DISTRICT 4,San Isidro Galas,1
DISTRICT 4,San Martin de Porres,1
DISTRICT 4,San Vicente,1
DISTRICT 4,Santol,1
DISTRICT 4,Sikatuna Village,1
DISTRICT 4,South Triangle,1
DISTRICT 4,Sto Niño,1
DISTRICT 4,Tatalon,1
DISTRICT 4,U.P. Campus,1
DISTRICT 4,Teachers Village East,1
DISTRICT 4,Teachers Village West,1
DISTRICT 4,U.P. Village,1
DISTRICT 4,Valencia,1
DISTRICT 5,Bagbag,1
DISTRICT 5,Capri,1
DISTRICT 5,Fairview,1
DISTRICT 5,Greater Lagro,1
DISTRICT 5,Gulod,1
DISTRICT 5,Kaligayahan,1
DISTRICT 5,Nagkaisang Nayon,1
DISTRICT 5,North Fairview,1
DISTRICT 5,Novaliches Proper,1
DISTRICT 5,Pasong Putik Proper,1
DISTRICT 5,San Agustin,1
DISTRICT 5,San Bartolome,1
DISTRICT 5,Sta. Lucia,1
DISTRICT 5,Sta. Monica,1
DISTRICT 6,Sauyo,1
DISTRICT 6,Talipapa,1
DISTRICT 6,Baesa,1
DISTRICT 6,Sangandaan,1
DISTRICT 6,Balonbato,1
DISTRICT 6,Unang Sigaw,1
DISTRICT 6,Apolonio Samson,1
DISTRICT 6,Pasong Tamo,1
DISTRICT 6,Tandang Sora,1
DISTRICT 6,Culiat,1
DISTRICT 6,New Era,1
