service,district_1,district_2,district_3,district_4,district_5,district_6,total
CHILD LEARNING CENTER (childcare),105.0,43.0,63.0,476.0,483.0,306.0,1476.0
DAY CARE CENTER (childcare),,19.0,25.0,10.0,17.0,,71.0
NURSING CARE CENTER (oldage care),75.0,8.0,,25.0,46.0,,154.0
PHYSICAL THERAPY CLINIC (longterm care),359.0,68.0,180.0,461.0,258.0,87.0,1413.0
PHYSICAL THERAPY CLINIC | REHABILITATION CLINIC (longterm care),,,48.0,,,,48.0
PHYSICAL/OCCUPATIONAL THERAPY SCHOOL (longterm care),227.0,24.0,150.0,190.0,49.0,76.0,716.0
PRIVATE SCHOOL (childcare) ,325.0,223.0,60.0,271.0,254.0,179.0,1312.0
PSYCHIATRIC REHABILITATION CENTER (longterm care),,,30.0,2.0,,7.0,39.0
PSYCHOLOGICAL CLINIC (longterm care),122.0,24.0,28.0,298.0,,24.0,496.0
REHABILITATION CLINIC (longterm care),77.0,,19.0,74.0,207.0,,377.0
REHABILITATION CLINIC | PHYSICAL THERAPY CLINIC (longterm care),,,16.0,,,,16.0
THERAPEUTIC CLINIC (longterm care),330.0,20.0,46.0,182.0,37.0,25.0,640.0
