,barangay,name_original,address,district,major_division,sub_division,category,data_source,address_clean,latitude,longitude,open_hours,close_hours
1,Vasra,Vasra I,40 Forestry St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","40 Forestry Street, Quezon City, Philippines",14.65977467,121.0455666,#N/A,#N/A
2,Vasra,Vasra II,40 Forestry St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","40 Forestry Street, Quezon City, Philippines",14.65977467,121.0455666,#N/A,#N/A
3,Bagong Pag-asa,Bagong Pag-asa,Road 9 cor. Road 11,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Road 9 corner Road 11, Quezon City, Philippines",14.66233419,121.0330115,#N/A,#N/A
4,Bagong Pag-asa,Kampilan I,"Hona St., San Roque",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Hona Street, San Roque, Quezon City, Philippines",14.6076542,121.0834362,#N/A,#N/A
5,Sto. Cristo,Sto. Cristo,5 Romblon St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","5 Romblon Street, Quezon City, Philippines",14.66261402,121.02903,#N/A,#N/A
6,Sto. Cristo,Bahay Bulilit,4 Misamis Ext. RSCC Compound,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","4 Misamis Extension RSCC Compound, Quezon City, Philippines",14.6581124,121.029042,#N/A,#N/A
7,Ramon Magsaysay,Ramon Magsaysay I,Ilocos Sur St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Ilocos Sur Street, Quezon City, Philippines",14.6606578,121.0265132,#N/A,#N/A
8,Ramon Magsaysay,Ramon Magsaysay II,Ilocos Sur St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Ilocos Sur Street, Quezon City, Philippines",14.6606578,121.0265132,#N/A,#N/A
9,Alicia,Alicia,#2 Batangas St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","#2 Batangas Street, Quezon City, Philippines",14.67801002,121.062232,#N/A,#N/A
10,Project 6,Project 6,Alley 3 Project 6,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Alley 3 Project 6, Quezon City, Philippines",14.66200495,121.0397192,#N/A,#N/A
11,Bahay Toro,Sitio Maligaya I,14 Bayanihan Drive,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","14 Bayanihan Drive, Quezon City, Philippines",14.6683198,121.0237079,#N/A,#N/A
12,Bahay Toro,Sitio Maligaya II,14 Bayanihan Drive,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","14 Bayanihan Drive, Quezon City, Philippines",14.6683198,121.0237079,#N/A,#N/A
13,Bahay Toro,San Jose Seminary I,"Road 19 Bahay Toro, Proj. 8",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Road 19 Bahay Toro, Proj. 8, Quezon City, Philippines",14.66468785,121.0200075,#N/A,#N/A
14,Bahay Toro,San Jose Seminary II,Road 19 Bahay Toro Proj. 8,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Road 19 Bahay Toro Proj. 8, Quezon City, Philippines",14.66468785,121.0200075,#N/A,#N/A
15,Bahay Toro,Pook Masagana,Alley 25 Pook Masagana,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Alley 25 Pook Masagana, Quezon City, Philippines",14.6181251,121.0668505,#N/A,#N/A
16,Katipunan,Katipunan,E. Beltran St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","E. Beltran Street, Quezon City, Philippines",14.65645531,121.018017,#N/A,#N/A
17,San Antonio,San Antonio I,173 West Riverside St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","173 West Riverside Street, Quezon City, Philippines",14.63913475,121.0129173,#N/A,#N/A
18,San Antonio,San Antonio II,47 Guerrero St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","47 Guerrero Street, Quezon City, Philippines",14.63471739,121.0679595,#N/A,#N/A
19,San Antonio,San Antonio III,"Lot 5 Alley 7, 31 San Jose St.",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 5 Alley 7, 31 San Jose Street, Quezon City, Philippines",14.66199602,121.041492,#N/A,#N/A
20,Veterans Village,Veterans Village,#3 Palomaria St. cor. Bansalangin St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","#3 Palomaria Street corner Bansalangin Street, Quezon City, Philippines",14.6533197,121.024622,#N/A,#N/A
21,Nayong Kanluran,Nayong Kanluran,37 Sorsogon St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","37 Sorsogon Street, Quezon City, Philippines",14.64061471,121.0256299,#N/A,#N/A
22,Bungad,Bungad I,Sanches St. cor. Supnet St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Sanches Street corner Supnet Street, Quezon City, Philippines",14.65080978,121.0245226,#N/A,#N/A
23,Bungad,Bungad II,Sanches.St.corner Supnet St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Sanches.Streetcorner Supnet Street, Quezon City, Philippines",14.65113021,121.0245932,#N/A,#N/A
24,Paltok,Paltok,"Brgy. Hall, Mendoza cor. Basa",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Barangay Hall, Mendoza corner Basa, Quezon City, Philippines",14.64323648,121.0224596,#N/A,#N/A
25,Paltok,East Anak Bayan,75 Anakbayan Dulo St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","75 Anakbayan Dulo Street, Quezon City, Philippines",14.6884313,121.0745333,#N/A,#N/A
26,Sta. Cruz,Sta. Cruz,"2nd Flr. Multi-purpose Hall
23D Gen. Lim St.",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","2nd Floor Multi-purpose Hall
23D Gen. Lim Street, Quezon City, Philippines",14.63516908,121.0215145,#N/A,#N/A
27,Mariblo,Mariblo,#1 Bernardo St. cor. San Pedro Bautista,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","#1 Bernardo Street corner San Pedro Bautista, Quezon City, Philippines",14.6347221,121.0144516,#N/A,#N/A
28,Del Monte,Bukal ng Pag-asa,"21 Florencia West SFDM
Multipurpose Hall",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","21 Florencia West SFDM
Multipurpose Hall, Quezon City, Philippines",14.6418077,121.0136298,#N/A,#N/A
29,Del Monte,Del Monte,"21 Florencia West SFDM
Multipurpose Hall",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","21 Florencia West SFDM
Multipurpose Hall, Quezon City, Philippines",14.6418077,121.0136298,#N/A,#N/A
30,Damayan,Damayan,30 San Vicente St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","30 San Vicente Street, Quezon City, Philippines",14.63880498,121.0142366,#N/A,#N/A
31,Masambong,Saint John Masambong I,4 Capuas St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","4 Capuas Street, Quezon City, Philippines",14.64341663,121.0100048,#N/A,#N/A
32,Masambong,Saint John Masambong II,4 Capuas St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","4 Capuas Street, Quezon City, Philippines",14.64341663,121.0100048,#N/A,#N/A
33,Talayan,Talayan Calamba,199 Calamba ext. Talayan Village,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","199 Calamba Extension Talayan Village, Quezon City, Philippines",14.63400735,121.0112701,#N/A,#N/A
34,Sto. Domingo,Sto. Domingo,14 Maria Clara St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","14 Maria Clara Street, Quezon City, Philippines",14.62250489,120.9960056,#N/A,#N/A
35,Manresa,Manresa,Biak na Bato cor. Makaturing,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Biak na Bato corner Makaturing, Quezon City, Philippines",14.64128819,121.0030789,#N/A,#N/A
36,Manresa,Matutum,Multi-Purpose Hall,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Multi-Purpose Hall, Quezon City, Philippines",17.794018,120.462237,#N/A,#N/A
37,San Jose,San Jose,80 Tendido St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","80 Tendido Street, Quezon City, Philippines",14.64080162,120.9931693,#N/A,#N/A
38,Pag-ibig sa Nayon,Pag-ibig sa Nayon,23 J. Pineda St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","23 J. Pineda Street, Quezon City, Philippines",14.64644032,120.9961432,#N/A,#N/A
39,Balingasa,Tibagan,11 Road Harmony St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","11 Road Harmony Street, Quezon City, Philippines",14.65206841,121.0024084,#N/A,#N/A
40,#N/A,Sitio Sto. Cristo,#25 Sitio Sto. Cristo,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","#25 Sitio Sto. Cristo, Quezon City, Philippines",15.5348237,120.8189332,#N/A,#N/A
41,N.S. Amoranto,N.S. Amoranto,Barangay Hall Angelo St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Barangay Hall Angelo Street, Quezon City, Philippines",14.63280252,120.9942065,#N/A,#N/A
42,Salvacion,Salvacion,#74 Bulusan St.,1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","#74 Bulusan Street, Quezon City, Philippines",14.62807701,120.994919,#N/A,#N/A
43,Paang Bundok,Paang Bundok,"Barangay Hall 166 Iriga St., La Loma",1,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Barangay Hall 166 Iriga Street, La Loma, Quezon City, Philippines",14.62785301,120.993033,#N/A,#N/A
