,barangay,district,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude
1,Alicia,1,Alicia,#2 Batangas St.,"#2 Batangas Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
2,Alicia,1,"sto. nino parochial school, inc.","ilocos sur st. cor. bukidnon st., alicia, quezon city, ncr, 1105","ilocos sur Street corner bukidnon Street, alicia, quezon city, ncr, 1105, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",6:00AM,5:00PM,14.66004052,121.0263474
3,Alicia,1,Bago Bantay,"84 Sto. Niño St., Brgy. Alicia","84 Sto. Niño Street, Barangay Alicia, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
4,Amihan,3,Amihan,"Bgy. Hall, Palosapis St., Brgy. Amihan Quezon City","Barangay Hall, Palosapis Street, Barangay Amihan Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.63309806,121.0668921
5,Apolonio Samson,6,Apolonio Samson Health Center,"150 Kaingin Road, Brgy. Apolonio Samson, Balintawak","150 Kaingin Road, Barangay Apolonio Samson, Balintawak, Quezon City, Philippines",Health centers,#N/A,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.65468419,121.0113137
6,Apolonio Samson,6,Oliveros,26 M Oliveros Drive (Dulo),"26 M Oliveros Drive (Dulo), Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.65942729,121.0065384
7,Apolonio Samson,6,Apolonio Samson,"150 Kaingin Road, Brgy. Apolonio Samson, Balintawak","150 Kaingin Road, Barangay Apolonio Samson, Balintawak, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.65468419,121.0113137
8,Apolonio Samson,6,Apolonio Samson Annex,Bgy. Apolonio Samson,"Barangay Apolonio Samson, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.65531,121.011601
9,Apolonio Samson,6,Apolonio Samson,"Kaingin Rd., Bgy. Hall Apolonio Samson","Kaingin Road, Barangay Hall Apolonio Samson, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.65531,121.011601
10,Baesa,6,Howmart,Alley 2 Howmart St.,"Alley 2 Howmart Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
11,Baesa,6,Sitio Pajo,GK Sitio Pajo,"GK Sitio Pajo, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
12,Baesa,6,Baesa Health Center,"57 Baesa Road, Brgy. Baesa","57 Baesa Road, Barangay Baesa, Quezon City, Philippines",Health centers,#N/A,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.6691641,121.0064989
13,Baesa,6,F. Carlos,F. Carlos St. (near Basketball Court),"F. Carlos Street (near Basketball Court), Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.66197998,121.0104632
14,Baesa,6,Baesa,"57 Baesa Road, Brgy. Baesa","57 Baesa Road, Barangay Baesa, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.6691641,121.0064989
15,Baesa,6,Mendez,Mendez Road,"Mendez Road, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.66876763,121.0131722
16,Baesa,6,Asamba,Asamba Compound Sitio Compound,"Asamba Compound Sitio Compound, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
17,Bagbag,5,Goodwill Homes 2,"Mark St. cor. Ruth St., Goodwill Homes 2 Subd., Brgy. Bagbag","Mark Street corner Ruth Street, Goodwill Homes 2 Subdivision, Barangay Bagbag, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.6966932,121.0365573
18,Bagbag,5,Ibayo,"Ibayo 2 68 Pascual Road, Brgy. Bagbag","Ibayo 2 68 Pascual Road, Barangay Bagbag, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.69672359,121.0394513
19,Bagbag,5,Maligaya,"Mark St. cor. Ruth St., Goodwill Homes 2 Subd., Brgy. Bagbag","Mark Street corner Ruth Street, Goodwill Homes 2 Subdivision, Barangay Bagbag, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.6966932,121.0365573
20,Bagbag,5,San Pedro IX,Santan St. San Pedro IX Subd. Brgy. Bagbag,"Santan Street San Pedro IX Subdivision Barangay Bagbag, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
21,Bagbag,5,Remarville,"Asteroid St. cor. Pisces St., Remarville Subd., Brgy. Bagbag","Asteroid Street corner Pisces Street, Remarville Subdivision, Barangay Bagbag, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.695432,121.0389272
22,Bagbag,5,Bagbag,"18 Parokya ng Pagkabuhay Road, Brgy. Bagbag","18 Parokya ng Pagkabuhay Road, Barangay Bagbag, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.69702447,121.0280886
23,Bagong Lipunan ng Crame,4,"joyful hands kiddie center of cubao, q.c., inc.","unit 4, corporate house bldg., 239 boni serrano road, bagong lipunan ng crame, quezon city, ncr, 1111","unit 4, corporate house Building, 239 boni serrano road, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",9:00AM,5:00PM,14.60944111,121.0436342
24,Bagong Lipunan ng Crame,4,wdc np assessment cntr psychiatric clinic,"room 503 unit j, camus bldg., edsa, bagong lipunan ng crame, quezon city, ncr, 1111","room 503 unit j, camus Building, edsa, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,#N/A,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61127632,121.0546532
25,Bagong Lipunan ng Crame,4,ram-ce psychological & diagnostic center inc.,"#1-b, medina bldg.  3rd ave. cor.,, b. serrano ave, bagong lipunan ng crame, quezon city, ncr, 1111","#1-b, medina Building 3rd Avenue corner, b. serrano ave, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,#N/A,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61041249,121.0531287
26,Bagong Lipunan ng Crame,4,"bridgesofhope (q.c.), inc.","#12, orestes lane, bagong lipunan ng crame, quezon city, ncr, 1111","#12, orestes lane, bagong lipunan ng crame, quezon city, ncr, 1111, Philippines",Long-term care and rehabilitation services,#N/A,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.61077538,121.0466161
27,Bagong Pag-asa,1,Kampilan I,"Hona St., San Roque","Hona Street, San Roque, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
