Unnamed: 0,barangay,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude,district
1,Alicia,Alicia,#2 Batangas St.,"#2 Batangas Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,1.0
2,Alicia,"sto. nino parochial school, inc.","ilocos sur st. cor. bukidnon st., alicia, quezon city, ncr, 1105","ilocos sur Street corner bukidnon Street, alicia, quezon city, ncr, 1105, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",6:00AM,5:00PM,14.66004052,121.0263474,1.0
3,Alicia,Bago Bantay,"84 Sto. Niño St., Brgy. Alicia","84 Sto. Niño Street, Barangay Alicia, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,,,1.0
4,Amihan,Amihan,"Bgy. Hall, Palosapis St., Brgy. Amihan Quezon City","Barangay Hall, Palosapis Street, Barangay Amihan Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.63309806,121.0668921,3.0
5,Apolonio Samson,Apolonio Samson Health Center,"150 Kaingin Road, Brgy. Apolonio Samson, Balintawak","150 Kaingin Road, Barangay Apolonio Samson, Balintawak, Quezon City, Philippines",Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.65468419,121.0113137,6.0
6,Apolonio Samson,Oliveros,26 M Oliveros Drive (Dulo),"26 M Oliveros Drive (Dulo), Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.65942729,121.0065384,6.0
7,Apolonio Samson,Apolonio Samson,"150 Kaingin Road, Brgy. Apolonio Samson, Balintawak","150 Kaingin Road, Barangay Apolonio Samson, Balintawak, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.65468419,121.0113137,6.0
8,Apolonio Samson,Apolonio Samson Annex,Bgy. Apolonio Samson,"Barangay Apolonio Samson, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.65531,121.011601,6.0
9,Apolonio Samson,Apolonio Samson,"Kaingin Rd., Bgy. Hall Apolonio Samson","Kaingin Road, Barangay Hall Apolonio Samson, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.65531,121.011601,6.0
10,Baesa,Howmart,Alley 2 Howmart St.,"Alley 2 Howmart Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,6.0
