,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
5,135-99 (Alma Nova),135-99 Sauyo Rd.,"135-99 Sauyo Road, Quezon City, Philippines",Sauyo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
8,3haus learning hub and events corporation,"no. 84, ., dona hemady st. corner e. rodriguez avenue, mariana, quezon city, ncr, 1112","84, ., dona hemady Street corner e. rodriguez avenue, mariana, quezon city, ncr, 1112, Philippines",Mariana,4,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",10:00AM,7:00PM,121.0317448,14.6237652,#N/A,#N/A,#N/A,#N/A,Administrative data
10,a.c.e learning-bridge behavioral training and development services,"no. 70, 20th avenue, san roque, quezon city, ncr, 1109","70, 20th avenue, san roque, quezon city, ncr, 1109, Philippines",San Roque,3,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,3:00PM,121.0645985,14.6179185,#N/A,#N/A,#N/A,#N/A,Administrative data
24,aces aba intervention learning and assessment center,"blk 50, lot 45, noche buena cor. pabasa st., greater lagro, quezon city, ncr, 1100","blk 50, lot 45, noche buena corner pabasa Street, greater lagro, quezon city, ncr, 1100, Philippines",Greater Lagro,5,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0646808,14.7266983,#N/A,#N/A,#N/A,#N/A,Administrative data
35,Aguardiente,"1st floor Barangay Sta Monica Daycare Center Building, Pugong Ginto St., Aguardiente, Brgy. Sta Monica","1st floor Barangay Sta Monica Daycare Center Building, Pugong Ginto Street, Aguardiente, Barangay Sta Monica, Quezon City, Philippines",Sta. Monica,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0462667,14.7155688,#N/A,#N/A,#N/A,#N/A,Administrative data
40,Alicia,#2 Batangas St.,"2 Batangas Street, Quezon City, Philippines",Alicia,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
50,Amihan,"Bgy. Hall, Palosapis St., Brgy. Amihan Quezon City","Barangay Hall, Palosapis Street, Barangay Amihan Quezon City, Philippines",Amihan,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
51,Amorsolo,"Barangay Hall Compd., Pook Amorsolo Brgy. UP Campus","Barangay Hall Compd., Pook Amorsolo Barangay UP Campus, Quezon City, Philippines",U. P. Campus,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0656658,14.6474942,#N/A,#N/A,#N/A,#N/A,Administrative data
52,Amorsolo II,"Barangay Hall Compd., Pook Amorsolo Brgy. UP Campus","Barangay Hall Compd., Pook Amorsolo Barangay UP Campus, Quezon City, Philippines",U. P. Campus,4,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.065374,14.6459479,#N/A,#N/A,#N/A,#N/A,Administrative data
54,Angela,"2nd flr. Vargas Hall, Marcos St., Doña Faustina","2nd Floor Vargas Hall, Marcos Street, Doña Faustina, Quezon City, Philippines",San Bartolome,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
