barangay,center_name,address,district,latitude,longitude
Vasra,Vasra I,40 Forestry St.,District 1,14.656936632770154,121.04646942958874
Vasra,Vasra II,40 Forestry St.,District 1,14.656936632770154,121.04646942958874
Bagong Pag-asa,Bagong Pag-asa,Road 9 cor. Road 11,District 1,14.654748530132741,121.03542366714137
Bagong Pag-asa,Kampilan I,"Hona St., San Roque",District 1,14.654748530132741,121.03542366714137
Sto. Cristo,Sto. Cristo,5 Romblon St.,District 1,14.659098514819854,121.03005560102883
Sto. Cristo,Bahay Bulilit,4 Misamis Ext. RSCC Compound,District 1,14.659098514819854,121.03005560102883
Ramon Magsaysay,Ramon Magsaysay I,Ilocos Sur St.,District 1,14.659148073422365,121.02280858455565
Ramon Magsaysay,Ramon Magsaysay II,Ilocos Sur St.,District 1,14.659148073422365,121.02280858455565
Alicia,Alicia,#2 Batangas St.,District 1,14.661459886657038,121.02502556403468
Project 6,Project 6,Alley 3 Project 6,District 1,14.656698150704795,121.04081032939912
Bahay Toro,Sitio Maligaya I,14 Bayanihan Drive,District 1,14.667456716146651,121.02866330853908
Bahay Toro,Sitio Maligaya II,14 Bayanihan Drive,District 1,14.667456716146651,121.02866330853908
Bahay Toro,San Jose Seminary I,"Road 19 Bahay Toro, Proj. 8",District 1,14.667456716146651,121.02866330853908
Bahay Toro,San Jose Seminary II,Road 19 Bahay Toro Proj. 8,District 1,14.667456716146651,121.02866330853908
Bahay Toro,Pook Masagana,Alley 25 Pook Masagana,District 1,14.667456716146651,121.02866330853908
Katipunan,Katipunan,E. Beltran St.,District 1,14.656217253783469,121.01726723784498
San Antonio,San Antonio I,173 West Riverside St.,District 1,14.650044833815716,121.01703705833786
San Antonio,San Antonio II,47 Guerrero St.,District 1,14.650044833815716,121.01703705833786
San Antonio,San Antonio III,"Lot 5 Alley 7, 31 San Jose St.",District 1,14.650044833815716,121.01703705833786
Veterans Village,Veterans Village,#3 Palomaria St. cor. Bansalangin St.,District 1,14.654567730878938,121.02412951771363
Nayong Kanluran,Nayong Kanluran,37 Sorsogon St.,District 1,14.640142513621038,121.02499009147394
Bungad,Bungad I,Sanches St. cor. Supnet St.,District 1,14.649984982053079,121.02471840719117
Bungad,Bungad II,Sanches.St.corner Supnet St.,District 1,14.649984982053079,121.02471840719117
Paltok,Paltok,"Brgy. Hall, Mendoza cor. Basa",District 1,14.643553648088433,121.02308738511535
Paltok,East Anak Bayan,75 Anakbayan Dulo St.,District 1,14.643553648088433,121.02308738511535
Sta. Cruz,Sta. Cruz,"2nd Flr. Multi-purpose Hall
23D Gen. Lim St.",District 1,14.635630197123408,121.02066259241232
Mariblo,Mariblo,#1 Bernardo St. cor. San Pedro Bautista,District 1,14.634653485782811,121.01596277871482
Del Monte,Bukal ng Pag-asa,"21 Florencia West SFDM
Multipurpose Hall",District 1,14.643268129867653,121.01515037625168
Del Monte,Del Monte,"21 Florencia West SFDM
Multipurpose Hall",District 1,14.643268129867653,121.01515037625168
Damayan,Damayan,30 San Vicente St.,District 1,14.637873170624376,121.0140585515347
Masambong,Saint John Masambong I,4 Capuas St.,District 1,14.642152978227562,121.00872240267755
Masambong,Saint John Masambong II,4 Capuas St.,District 1,14.642152978227562,121.00872240267755
Talayan,Talayan Calamba,199 Calamba ext. Talayan Village,District 1,14.63474175270494,121.01133780962316
Sto. Domingo,Sto. Domingo,14 Maria Clara St.,District 1,14.629700805286772,121.00780149219332
Manresa,Manresa,Biak na Bato cor. Makaturing,District 1,14.641563512283119,121.0008677958591
Manresa,Matutum,Multi-Purpose Hall,District 1,14.641563512283119,121.0008677958591
San Jose,San Jose,80 Tendido St.,District 1,14.640492158810469,120.99367655931428
Pag-ibig sa Nayon,Pag-ibig sa Nayon,23 J. Pineda St.,District 1,14.647110769674281,120.9966097671458
Balingasa,Tibagan,11 Road Harmony St.,District 1,14.651741554726597,121.00154084378181
Balingasa,Sitio Sto. Cristo,#25 Sitio Sto. Cristo,District 1,14.651741554726597,121.00154084378181
N.S. Amoranto,N.S. Amoranto,Barangay Hall Angelo St.,District 1,14.632797579036707,120.99354043610921
Salvacion,Salvacion,#74 Bulusan St.,District 1,14.626588041684217,120.99409888609271
Paang Bundok,Paang Bundok,"Barangay Hall 166 Iriga St., La Loma",District 1,14.62815164756996,120.99197074500714
Sta. Teresita,Sta. Teresita,Mayon cor. Dapitan St. Barangay Hall Compd.,District 1,14.620733768925444,121.00032909107458
San Isidro Labrador,San Isidro Labrador,#91 Halcon St.,District 1,14.623920199889508,120.9962386052501
Holy Spirit,Kaligtasan,"120 Don Vicente Kaligtasan St., Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Holy Spirit,Barangay Complex,"Don Faustino St., (inside Barangay Hall compound) Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Holy Spirit,Kasiyahan,"Kasiyahan Covered Court, Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Holy Spirit,Sto. Niño,"Side of Sto. Niño Covered Court, Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Holy Spirit,Mapayapa,"Area 7 Nawasa Line, Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Holy Spirit,Sto. Domingo,"Republic Chapel (inside the gate), Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Holy Spirit,St. Catherine,"St. Catherine St., Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Holy Spirit,Zebra,"San Simon St. (back of Brgy. Annex), Brgy. Holy Spirit",District 2,14.684964597544562,121.07801018409732
Batasan Hills,Jasmin,"Lot 35-A, Jasmin St., Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Luzviminda,"Luzviminda Subd., Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Talanay,"31 Alton St., Sitio Talanay, Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Area 3 Sitio Talanay,"Lot 16 Block 26 Ground Floor, Precious Complex, Area 3 Sitio Talanay, Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Pook Pag-asa,"B1 L21 Pook Pagasa St., Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Kalayaan B1,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Kalayaan B2,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Kalayaan B3,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Freedom Park 3 & 4,"Fortune St., Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,Freedom Park 5,"Jordan St., Freedom Park 5, Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Batasan Hills,De Gloria,"De Gloria Taniman Ext. Talanay Area, Brgy. Batasan Hills",District 2,14.68350669259852,121.09834284282383
Commonwealth,Kasunduan,"Ground floor, Kasunduan Multi-purpose Hall, Unit 2, Kasunduan Extension, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Kaunlaran,"Lot 9A, Unit 2, Kaunlaran St., Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Litex,"Payatas Road corner Bayanihan St., Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Soliven,"Commonwealth Heights, Soliven St. corner President Quezon St., Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,E. Castillo,"E. Castillo St., Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Don Fabian,"Don Fabian, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Gold,"Gold St., near Commonwealth Highschool, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Unit IV,"Unit IV, Plaza Riverside, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Unit V,"Ground floor, DCC Paulate Bldg., Bato bato St., Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Upper Nawasa,"Unit VII Upper NAWASA, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Pinadama,"Pinadama Pilot Drive, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Purok 12,"Purok 12, Adarna St., Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Purok 15,"Purok 15, Pinagnayon St., Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Purok 16,"Unit V, Purok 16, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Purok 20,"Unit V, Purok 20, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Lower Nawasa,"Purok 6, Unit 7 Lower NAWASA, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
Commonwealth,Gravel Pit,"St. Paulia St., Gravel Pit, Brgy. Commonwealth",District 2,14.700624527897887,121.08411895972014
