district,Indicator,Total,In Flood Zone,% under flood risk
DISTRICT 1,Total Population,403059,132136,32.78
DISTRICT 2,Total Population,775934,95298,12.28
DISTRICT 3,Total Population,335053,63311,18.9
DISTRICT 4,Total Population,423741,120163,28.36
DISTRICT 5,Total Population,632890,140000,22.12
DISTRICT 6,Total Population,540188,121853,22.56
DISTRICT 1,Female Population,206182,67594,32.78
DISTRICT 2,Female Population,396922,48749,12.28
DISTRICT 3,Female Population,171433,32387,18.89
DISTRICT 4,Female Population,216982,61503,28.34
DISTRICT 5,Female Population,323666,71585,22.12
DISTRICT 6,Female Population,276299,62330,22.56
DISTRICT 1,Male Population,196878,64542,32.78
DISTRICT 2,Male Population,379012,46548,12.28
DISTRICT 3,Male Population,163620,30925,18.9
DISTRICT 4,Male Population,206759,58661,28.37
DISTRICT 5,Male Population,309223,68416,22.13
DISTRICT 6,Male Population,263888,59523,22.56
DISTRICT 1,Children (0-4),29463,9659,32.78
DISTRICT 2,Children (0-4),56720,6966,12.28
DISTRICT 3,Children (0-4),24429,4628,18.94
DISTRICT 4,Children (0-4),30826,8761,28.42
DISTRICT 5,Children (0-4),46259,10224,22.1
DISTRICT 6,Children (0-4),39475,8906,22.56
DISTRICT 1,Female Children (0-4),14234,4666,32.78
DISTRICT 2,Female Children (0-4),27404,3365,12.28
DISTRICT 3,Female Children (0-4),11800,2236,18.95
DISTRICT 4,Female Children (0-4),14894,4233,28.42
DISTRICT 5,Female Children (0-4),22347,4939,22.1
DISTRICT 6,Female Children (0-4),19071,4303,22.56
DISTRICT 1,Male Children (0-4),15228,4992,32.78
DISTRICT 2,Male Children (0-4),29316,3600,12.28
DISTRICT 3,Male Children (0-4),12628,2392,18.94
DISTRICT 4,Male Children (0-4),15932,4528,28.42
DISTRICT 5,Male Children (0-4),23913,5285,22.1
DISTRICT 6,Male Children (0-4),20404,4603,22.56
DISTRICT 1,Elderly (60+),34995,11474,32.79
DISTRICT 2,Elderly (60+),67366,8275,12.28
DISTRICT 3,Elderly (60+),29297,5497,18.76
DISTRICT 4,Elderly (60+),37153,10489,28.23
DISTRICT 5,Elderly (60+),54868,12131,22.11
DISTRICT 6,Elderly (60+),46880,10578,22.56
DISTRICT 1,Female Elderly (60+),20588,6750,32.79
DISTRICT 2,Female Elderly (60+),39631,4868,12.28
DISTRICT 3,Female Elderly (60+),17235,3234,18.76
DISTRICT 4,Female Elderly (60+),21894,6176,28.21
DISTRICT 5,Female Elderly (60+),32269,7133,22.1
DISTRICT 6,Female Elderly (60+),27576,6223,22.57
DISTRICT 1,Male Elderly (60+),14408,4724,32.79
DISTRICT 2,Male Elderly (60+),27735,3407,12.28
DISTRICT 3,Male Elderly (60+),12062,2263,18.76
DISTRICT 4,Male Elderly (60+),15259,4313,28.27
DISTRICT 5,Male Elderly (60+),22599,4997,22.11
DISTRICT 6,Male Elderly (60+),19303,4355,22.56
DISTRICT 1,Childcare Facilities,125,38,30.4
DISTRICT 2,Childcare Facilities,162,7,4.32
DISTRICT 3,Childcare Facilities,129,32,24.81
DISTRICT 4,Childcare Facilities,130,22,16.92
DISTRICT 5,Childcare Facilities,147,34,23.13
DISTRICT 6,Childcare Facilities,98,21,21.43
DISTRICT 1,Elderly Care Facilities,6,2,33.33
DISTRICT 2,Elderly Care Facilities,5,1,20.0
DISTRICT 3,Elderly Care Facilities,1,0,0.0
DISTRICT 4,Elderly Care Facilities,9,1,11.11
DISTRICT 5,Elderly Care Facilities,6,0,0.0
DISTRICT 6,Elderly Care Facilities,3,2,66.67
DISTRICT 1,PwD Facilities,14,5,35.71
DISTRICT 2,PwD Facilities,2,0,0.0
DISTRICT 3,PwD Facilities,9,3,33.33
DISTRICT 4,PwD Facilities,14,2,14.29
DISTRICT 5,PwD Facilities,10,1,10.0
DISTRICT 6,PwD Facilities,4,0,0.0
