barangay,Childcare,Health centers,Long-term care and rehabilitation services,Older persons care,Quezon City satellite offices for services,Schools,Trainings,Total,Bus stops,ratio_childcare,ratio_childcare_f,ratio_childcare_m,ratio_school_3_5,ratio_school_3_5_f,ratio_school_3_5_m,ratio_school_6_17,ratio_school_6_17_f,ratio_school_6_17_m,ratio_old_60,ratio_old_60_f,ratio_old_60_m,ratio_old_80,ratio_old_80_f,ratio_old_80_m,ratio_pop_health,ratio_pop_health_f,ratio_pop_health_m,ratio_child_health,ratio_child_health_f,ratio_child_health_m,ratio_old_health,ratio_old_health_f,ratio_old_health_m,ratio_pwd_health,ratio_pwd,ratio_pwd_all,ratio_bus_stops,ratio_bus_stops_f,ratio_bus_stops_m
Alicia,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.6556291390728477,3.571428571428571,3.0864197530864197,3.289473684210526,6.25,6.944444444444444,0.8620689655172413,1.7064846416382253,1.7421602787456445,0.0,0.0,0.0,0.0,0.0,0.0,0.16342539630658603,0.32041012495994875,0.333555703802535,1.6556291390728477,3.571428571428571,3.0864197530864197,1.8484288354898337,3.205128205128205,4.366812227074235,3.717472118959108,0.0,11.152416356877323,0.0,0.0,0.0
Amihan,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.6363636363636362,7.751937984496124,6.8493150684931505,7.8125,16.949152542372882,14.492753623188406,1.7391304347826089,3.6900369003690034,3.289473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547,0.0,0.0,0.0
Apolonio Samson,3.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.7027406886858749,1.4091122592766556,1.4018691588785046,1.4436958614051971,2.8544243577545196,2.9211295034079843,0.4427390791027155,0.9135200974421437,0.8591065292096219,0.0,0.0,0.0,0.0,0.0,0.0,0.08920871866543757,0.1801693591976458,0.17669925786311697,0.7027406886858749,1.4091122592766556,1.4018691588785046,1.344688480502017,2.356637863315004,3.131524008350731,2.7573529411764706,0.0,8.272058823529411,0.0,0.0,0.0
Baesa,5.0,4.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,0.694058856191005,1.483679525222552,1.3041210224308817,1.1019283746556472,2.314814814814815,2.103049421661409,0.3187250996015936,0.6580029610133246,0.6181424818420647,0.0,0.0,0.0,0.0,0.0,0.0,0.07230788698277264,0.14699397324709687,0.14231330273597326,0.5552470849528041,1.1869436201780414,1.0432968179447053,1.0790396547073104,1.948368241597662,2.4183796856106405,2.7118644067796613,0.0,8.813559322033898,0.0,0.0,0.0
Bagbag,6.0,1.0,1.0,0.0,0.0,8.0,0.0,16.0,0.0,0.768836494105587,1.6051364365971108,1.4756517461878995,2.145347278090641,4.512126339537508,4.08997955010225,0.5570254839158892,1.1665208515602217,1.0660980810234542,0.0,0.0,0.0,0.0,0.0,0.0,0.015493066852583469,0.031191515907673117,0.030783438510081577,0.12813941568426448,0.26752273943285176,0.24594195769798327,0.19924287706714486,0.34223134839151265,0.47687172150691465,0.48123195380173245,0.48123195380173245,7.699711260827719,0.0,0.0,0.0
Bagong Lipunan ng Crame,2.0,2.0,3.0,0.0,0.0,5.0,0.0,12.0,0.0,1.7152658662092624,3.5650623885918002,3.3057851239669422,8.547008547008549,17.543859649122805,16.666666666666668,2.444987775061125,5.040322580645161,4.748338081671415,0.0,0.0,0.0,0.0,0.0,0.0,0.1467351430667645,0.281214848143982,0.3068425897514575,1.7152658662092624,3.5650623885918002,3.3057851239669422,1.7559262510974538,2.8530670470756063,4.5662100456621,3.8461538461538463,5.769230769230769,23.076923076923077,0.0,0.0,0.0
Bagong Pag-asa,4.0,3.0,8.0,0.0,0.0,10.0,0.0,25.0,2.0,1.1071132023249377,2.2727272727272725,2.1586616297895307,5.938242280285036,12.40694789081886,11.389521640091116,1.816860465116279,3.679175864606328,3.5893754486719307,0.0,0.0,0.0,0.0,0.0,0.0,0.1026658909688238,0.20578954589106874,0.2048760499897562,0.8303349017437033,1.7045454545454544,1.618996222342148,1.3953488372093024,2.3961661341853033,3.34075723830735,2.9615004935834155,7.897334649555774,24.679170779861796,0.0684439273125492,0.13719303059404583,0.13658403332650412
Bagong Silangan,13.0,2.0,0.0,0.0,0.0,13.0,0.0,28.0,0.0,0.8902280353352051,1.8753606462781303,1.694694303219919,1.8384952623391317,3.855278766310795,3.514463368477967,0.5066448419657821,1.0508447174844395,0.9783263094521374,0.0,0.0,0.0,0.0,0.0,0.0,0.01871397559697582,0.03795498538733063,0.036915353095352356,0.13695815928233926,0.28851702250432776,0.26072220049537215,0.3021604471974618,0.5339028296849972,0.6961364427427776,0.9041591320072332,0.0,12.658227848101266,0.0,0.0,0.0
Bagumbayan,2.0,0.0,4.0,0.0,0.0,6.0,0.0,12.0,1.0,1.1229646266142617,2.3809523809523814,2.1253985122210413,7.151370679380214,15.424164524421593,13.333333333333334,1.8547140649149925,3.8167938931297707,3.6079374624173184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.284015852047556,15.852047556142669,0.04515284237142728,0.08950147677436678,0.09112447603426281
Bagumbuhay,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.663893510815308,3.4482758620689653,3.215434083601286,6.514657980456026,13.605442176870747,12.5,1.8001800180018002,3.6363636363636362,3.5650623885918002,0.0,0.0,0.0,0.0,0.0,0.0,0.15790304752881731,0.30432136335970783,0.3281916639317361,1.663893510815308,3.4482758620689653,3.215434083601286,1.375515818431912,2.2675736961451247,3.4965034965034967,2.7247956403269753,0.0,10.899182561307901,0.0,0.0,0.0
