BARANGAY,DISTRICT,FEMALE,MALE,TOTAL
ALICIA,DISTRICT 1,4,0,4
BAGONG PAG-ASA,DISTRICT 1,1,0,1
BAHAY TORO,DISTRICT 1,1,0,1
BALINGASA,DISTRICT 1,3,0,3
BUNGAD,DISTRICT 1,0,0,0
DAMAR,DISTRICT 1,50,2,52
DAMAYAN,DISTRICT 1,0,0,0
DEL MONTE,DISTRICT 1,0,0,0
KATIPUNAN,DISTRICT 1,1,0,1
KAUNLARAN,DISTRICT 1,0,0,0
LOURDES,DISTRICT 1,0,0,0
MAHARLIKA,DISTRICT 1,8,0,8
MANRESA,DISTRICT 1,0,0,0
MARIBLO,DISTRICT 1,0,0,0
MASAMBONG,DISTRICT 1,60,2,62
N.S. AMORANTO,DISTRICT 1,0,1,1
NAYONG KANLURAN,DISTRICT 1,0,0,0
NS AMORANTO,DISTRICT 1,1,0,1
PAANG BUNDOK,DISTRICT 1,32,1,33
PAG-IBIG SA NAYON,DISTRICT 1,0,0,0
PALTOK,DISTRICT 1,0,0,0
PARAISO,DISTRICT 1,0,0,0
PHIL-AM,DISTRICT 1,45,1,46
PROJECT 6,DISTRICT 1,0,0,0
RAMON MAGSAYSAY,DISTRICT 1,52,1,53
SALVACION,DISTRICT 1,0,0,0
SAN ANTONIO,DISTRICT 1,0,0,0
SAN ISIDRO LABRADOR,DISTRICT 1,0,0,0
SAN JOSE,DISTRICT 1,1,0,1
SIENNA,DISTRICT 1,29,3,32
ST. PETER,DISTRICT 1,0,0,0
STA. CRUZ,DISTRICT 1,16,1,17
STA. TERESITA,DISTRICT 1,0,0,0
STO. CRISTO,DISTRICT 1,1,0,1
STO. DOMINGO,DISTRICT 1,62,1,63
TALAYAN,DISTRICT 1,0,0,0
VASRA,DISTRICT 1,0,0,0
VETERANS VILLAGE,DISTRICT 1,0,0,0
WEST TRIANGLE,DISTRICT 1,0,0,0
BAGONG SILANGAN,DISTRICT 2,182,8,190
BATASAN HILLS,DISTRICT 2,901,57,958
COMMONWEALTH,DISTRICT 2,91,1,92
HOLY SPIRIT,DISTRICT 2,85,2,87
PAYATAS,DISTRICT 2,191,5,196
AMIHAN,DISTRICT 3,1,0,1
BAGUMBAYAN,DISTRICT 3,2,0,2
BAGUMBUHAY,DISTRICT 3,15,1,16
BAYANIHAN,DISTRICT 3,0,0,0
BLUE RIDGE A,DISTRICT 3,5,0,5
BLUE RIDGE B,DISTRICT 3,101,20,121
CAMP AGUINALDO,DISTRICT 3,0,0,0
CLARO,DISTRICT 3,0,0,0
DIOQUINO ZOBEL,DISTRICT 3,0,0,0
DUYAN-DUYAN,DISTRICT 3,13,0,13
E. RODRIGUEZ,DISTRICT 3,2,0,2
EAST KAMIAS,DISTRICT 3,0,0,0
ESCOPA I,DISTRICT 3,11,0,11
ESCOPA II,DISTRICT 3,0,0,0
ESCOPA III,DISTRICT 3,74,13,87
ESCOPA IV,DISTRICT 3,0,0,0
LIBIS,DISTRICT 3,1,0,1
LOYOLA HEIGHTS,DISTRICT 3,6,0,6
MANGGA,DISTRICT 3,0,0,0
MARILAG,DISTRICT 3,45,4,49
MASAGANA,DISTRICT 3,0,0,0
MATANDANG BALARA,DISTRICT 3,161,4,165
MILAGROSA,DISTRICT 3,19,2,21
PANSOL,DISTRICT 3,68,2,70
QUIRINO 2-A,DISTRICT 3,82,3,85
QUIRINO 2-B,DISTRICT 3,49,9,58
QUIRINO 2-C,DISTRICT 3,1,0,1
QUIRINO 3-A,DISTRICT 3,0,0,0
SAN ROQUE,DISTRICT 3,34,7,41
SILANGAN,DISTRICT 3,0,0,0
SOCORRO,DISTRICT 3,1,0,1
ST. IGNATIUS,DISTRICT 3,117,6,123
TAGUMPAY,DISTRICT 3,0,0,0
UGONG NORTE,DISTRICT 3,0,0,0
VILLA MARIA CLARA,DISTRICT 3,18,0,18
WEST KAMIAS,DISTRICT 3,0,1,1
WHITE PLAINS,DISTRICT 3,458,166,624
AURORA,DISTRICT 4,0,0,0
BAGONG LIPUNAN NG CRAME,DISTRICT 4,9,0,9
BOTOCAN,DISTRICT 4,0,0,0
CENTRAL,DISTRICT 4,17,0,17
DAMAYANG LAGI,DISTRICT 4,0,0,0
DILIMAN VILLAGE,DISTRICT 4,0,0,0
DON MANUEL,DISTRICT 4,0,0,0
DOÑA AURORA,DISTRICT 4,0,0,0
DOÑA IMELDA,DISTRICT 4,0,0,0
DOÑA JOSEFA,DISTRICT 4,0,0,0
HORSESHOE,DISTRICT 4,0,0,0
IMMACULATE CONCEPCION,DISTRICT 4,0,0,0
KALUSUGAN,DISTRICT 4,0,0,0
KAMUNING,DISTRICT 4,2,0,2
KAUNLARAN,DISTRICT 4,0,0,0
KRISTONG HARI,DISTRICT 4,0,0,0
KRUS NA LIGAS,DISTRICT 4,0,0,0
LAGING HANDA,DISTRICT 4,8,0,8
MALAYA,DISTRICT 4,0,0,0
MARIANA,DISTRICT 4,57,11,68
OBRERO,DISTRICT 4,0,0,0
OLD CAPITOL SITE,DISTRICT 4,0,0,0
PALIGSAHAN,DISTRICT 4,10,3,13
PINAGKAISAHAN,DISTRICT 4,3,0,3
PINYAHAN,DISTRICT 4,0,0,0
ROXAS,DISTRICT 4,0,0,0
SACRED HEART,DISTRICT 4,0,0,0
SAN ISIDRO GALAS,DISTRICT 4,0,0,0
SAN MARTIN DE PORRES,DISTRICT 4,0,0,0
SAN VICENTE,DISTRICT 4,0,0,0
SANTO NIÑO,DISTRICT 4,0,0,0
SANTOL,DISTRICT 4,62,0,62
SIKATUNA VILLAGE,DISTRICT 4,86,2,88
SOUTH TRIANGLE,DISTRICT 4,8,0,8
STO. NIÑO,DISTRICT 4,24,0,24
TATALON,DISTRICT 4,1,0,1
TEACHERS VILLAGE EAST,DISTRICT 4,0,0,0
TEACHERS VILLAGE WEST,DISTRICT 4,0,0,0
UP CAMPUS,DISTRICT 4,38,0,38
UP VILLAGE,DISTRICT 4,39,2,41
VALENCIA,DISTRICT 4,0,0,0
BAGBAG,DISTRICT 5,2,0,2
CAPRI,DISTRICT 5,0,0,0
FAIRVIEW,DISTRICT 5,219,2,221
GREATER LAGRO,DISTRICT 5,85,3,88
GULOD,DISTRICT 5,0,0,0
KALIGAYAHAN,DISTRICT 5,82,2,84
NAGKAISANG NAYON,DISTRICT 5,0,0,0
NORTH FAIRVIEW,DISTRICT 5,89,3,92
NOVALICHES PROPER,DISTRICT 5,3,0,3
PASONG PUTIK PROPER,DISTRICT 5,4,0,4
SAN AGUSTIN,DISTRICT 5,64,0,64
SAN BARTOLOME,DISTRICT 5,172,1,173
STA. LUCIA,DISTRICT 5,52,2,54
STA. MONICA,DISTRICT 5,4,1,5
APOLONIO SAMSON,DISTRICT 6,16,0,16
BAESA,DISTRICT 6,3,0,3
BALONG BATO,DISTRICT 6,25,0,25
CULIAT,DISTRICT 6,14,1,15
NEW ERA,DISTRICT 6,0,0,0
PASONG TAMO,DISTRICT 6,395,6,401
SANGANDAAN,DISTRICT 6,3,0,3
SAUYO,DISTRICT 6,355,6,361
TALIPAPA,DISTRICT 6,32,7,39
TANDANG SORA,DISTRICT 6,58,2,60
UNANG SIGAW,DISTRICT 6,3,0,3
