name_original,address,barangay,district,major_division,sub_division,category,source_reference,latitude,longitude,open_hours,close_hours,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
"(HIS) Hope Integrated School, Inc. ( Frmrly: T.D.S. Hope Christian Academy)","2 Iris St., Cor. Dahlia Ave., West Fairview, QC",Fairview,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",14.6998603,121.0633756,,,,,,,Administrative data
"(HIS) Hope Integrated School, Inc. ( Frmrly: T.D.S. Hope Christian Academy)","2 Iris St., Cor. Dahlia Ave., West Fairview, QC",Fairview,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",14.6998603,121.0633756,,,,,,,Administrative data
"(HIS) Hope Integrated School, Inc. ( Frmrly: T.D.S. Hope Christian Academy)","2 Iris St., Cor. Dahlia Ave., West Fairview, QC",Fairview,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",14.6998603,121.0633756,,,,,,,Administrative data
"(HIS) Hope Integrated School, Inc. ( Frmrly: T.D.S. Hope Christian Academy)","2 Iris St., Cor. Dahlia Ave., West Fairview, QC",Fairview,5.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",14.6998603,121.0633756,,,,,,,Administrative data
15th Avenue Elementary School,,Socorro,3.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",14.6217327,121.0586013,,,,,,,Administrative data
3HAUS LEARNING HUB AND EVENTS CORPORATION,"NO. 84, ., DONA HEMADY ST. CORNER E. RODRIGUEZ AVENUE, MARIANA, QUEZON CITY, NCR, 1112",Mariana,4.0,Childcare,Public,Child learning center,BLPD,14.6237541698999,121.0317448,10:00AM,7:00PM,,,,,Administrative data
4TS PSYCHOLOGICAL SERVICES,"18, KITANLAD ST, DOÑA JOSEFA, QUEZON CITY, NCR, 1113",Doña Josefa,4.0,Long-term care and rehabilitation services,,Psychological clinic,BLPD,14.6187185,121.0045105,8:00AM,5:00PM,,,,,Administrative data
A.C.E LEARNING-BRIDGE BEHAVIORAL TRAINING AND DEVELOPMENT SERVICES,"NO. 70, 20TH AVENUE, SAN ROQUE, QUEZON CITY, NCR, 1109",San Roque,3.0,Childcare,Public,Child learning center,BLPD,14.617995,121.0645557,8:00AM,3:00PM,,,,,Administrative data
AB CHILD DEVELOPMENTAL THERAPY CENTER,"C4 , SRF BLDG, 1038, SAN FRANCISCO DEL MONTE AVE., PARAISO, QUEZON CITY, NCR, 1104",Paraiso,1.0,Long-term care and rehabilitation services,,Physical/occupational therapy school,BLPD,14.6404299930414,121.01777877696,8:00AM,5:00PM,,,,,Administrative data
"ABA LEARNING & DEVELOPMENT THERAPY CENTER, INC.","127 , JAYVEE COMMERCIAL BUILDING, LOT B, TANDANG SORA AVENUE, PASONG TAMO, QUEZON CITY, NCR, 1107",Pasong Tamo,6.0,Long-term care and rehabilitation services,,Physical/occupational therapy school,BLPD,14.6736296,121.0482078,8:00AM,5:00PM,,,,,Administrative data
