barangay,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,age_0_4,women_15_49,child_woman_ratio,pop_cbms_secondary,cbms_responding_hh,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,domestic_workers_female,domestic_workers_male,domestic_workers_total
Alicia,,1,0.1147,6119,2998,3121,300,180,120,304,144,160,604,324,280,1160,574,586,3814,1871,1943,541,229,312,48,12,36,604,1764,53347.9,949.0,269,8273.8,155.1,2345.2,44.0,4.4,96.1,31.75,509,1759,289.4,4115.0,1204.0,3.42,1.15,17.61,1.5,3.329,6.34,0.5,50.0,24.0,26.0,4,0,4
Amihan,,3,0.1295,3513,1691,1822,147,77,70,128,69,59,275,146,129,575,304,271,2169,1045,1124,494,196,298,76,24,52,275,850,27127.4,1078.0,278,8324.3,306.9,2146.7,79.1,7.91,92.8,32.0,230,943,243.9,2258.0,668.0,3.38,1.17,21.71,3.29,3.364,6.99,0.45,38.0,18.0,20.0,1,0,1
Apolonio Samson,,6,1.9227,33629,16978,16651,2191,1113,1078,2078,1027,1051,4269,2140,2129,6776,3492,3284,20353,10388,9965,2231,958,1273,138,45,93,4269,11045,17490.5,4228.0,1088,2199.0,125.7,565.9,32.4,3.24,102.0,29.63,3660,9296,393.7,27887.0,8245.0,3.38,1.15,40.08,7.93,3.484,10.47,0.87,569.0,231.0,338.0,16,0,16
Baesa,,6,1.9513,55319,28107,27212,3574,1932,1642,3630,1902,1728,7204,3834,3370,12550,6471,6079,31858,16148,15710,3707,1654,2053,258,83,175,7204,19754,28349.8,6090.0,1475,3121.0,110.1,755.9,26.7,2.67,103.3,28.4,6025,14862,405.4,42254.0,12576.0,3.36,1.04,26.84,3.12,3.396,15.28,0.95,880.0,378.0,502.0,3,0,3
Bagbag,,5,2.0287,64545,32485,32060,4075,2110,1965,3729,1956,1773,7804,4066,3738,14362,7504,6858,37360,18818,18542,5019,2097,2922,383,113,270,7804,22166,31815.9,7303.0,2078,3599.8,113.1,1024.3,32.2,3.22,101.3,28.73,6560,17381,377.4,48229.0,12760.0,3.78,1.07,30.78,13.57,4.003,7.09,0.19,783.0,304.0,479.0,2,0,2
Bagong Lipunan ng Crame,,4,0.912,13630,6518,7112,581,305,276,585,300,285,1166,605,561,2045,1053,992,9280,4422,4858,1139,438,701,105,36,69,1166,3211,14945.2,1636.0,520,1793.9,120.0,570.2,38.2,3.82,91.6,35.64,972,4220,230.3,4204.0,1424.0,2.95,1.08,20.93,0.49,1.981,3.65,0.07,55.0,23.0,32.0,9,0,9
Bagong Pag-asa,,1,1.0975,29221,14643,14578,1929,975,954,1684,878,806,3613,1853,1760,5504,2786,2718,17954,9106,8848,2150,898,1252,194,51,143,3613,9117,26625.1,3844.0,1013,3502.5,131.5,923.0,34.7,3.47,100.4,30.28,3054,8092,377.4,15777.0,5122.0,3.08,1.01,30.61,2.87,2.981,12.94,3.95,410.0,194.0,216.0,1,0,1
Bagong Silangan,,2,5.4203,106872,54178,52694,7532,3972,3560,7071,3699,3372,14603,7671,6932,25659,13288,12371,59991,30346,29645,6619,2873,3746,517,155,362,14603,40262,19717.0,8593.0,2212,1585.3,80.4,408.1,20.7,2.07,102.8,27.74,12444,27986,444.7,91252.0,24194.0,3.77,1.05,18.61,6.26,3.716,4.37,0.58,1368.0,507.0,861.0,182,8,190
Bagumbayan,,3,1.4179,22147,10974,11173,942,491,451,839,450,389,1781,941,840,3235,1663,1572,15041,7456,7585,2090,914,1176,193,68,125,1781,5016,15619.6,2681.0,757,1890.8,121.1,533.9,34.2,3.42,98.2,34.25,1467,6615,221.8,4078.0,1453.0,2.81,1.09,37.23,1.17,2.09,5.8,0.14,136.0,68.0,68.0,2,0,2
Bagumbuhay,,3,0.2353,6333,3047,3286,294,151,143,307,160,147,601,311,290,1111,561,550,3894,1889,2005,727,286,441,78,20,58,601,1712,26914.6,1259.0,367,5350.6,198.8,1559.7,58.0,5.8,92.7,31.66,508,1798,282.5,3116.0,878.0,3.55,1.07,29.95,4.56,3.179,1.87,0.0,74.0,31.0,43.0,15,1,16
Bahay Toro,,1,2.9584,59576,29244,30332,3173,1592,1581,3137,1589,1548,6310,3181,3129,11554,5994,5560,36132,17777,18355,5580,2292,3288,635,192,443,6310,17864,20137.9,9276.0,2161,3135.5,155.7,730.5,36.3,3.63,96.4,30.81,5265,16481,319.5,44342.0,13485.0,3.29,1.07,15.31,5.15,3.757,7.0,0.15,649.0,284.0,365.0,1,0,1
Balingasa,,1,0.7985,19244,9603,9641,1031,503,528,1020,505,515,2051,1008,1043,3997,2069,1928,11641,5856,5785,1555,670,885,121,34,87,2051,6048,24100.2,2616.0,577,3276.1,135.9,722.6,30.0,3.0,99.6,30.06,1706,5293,322.3,11659.0,3363.0,3.47,1.12,15.46,3.81,3.662,9.27,1.43,134.0,62.0,72.0,3,0,3
Balong-bato,,6,0.3718,6991,3398,3593,383,193,190,427,210,217,810,403,407,1510,742,768,4057,1997,2060,614,256,358,69,28,41,810,2320,18803.1,1114.0,285,2996.2,159.3,766.5,40.8,4.08,94.6,29.47,673,1910,352.4,5252.0,1476.0,3.56,1.19,32.45,6.91,3.553,11.25,5.37,154.0,54.0,100.0,25,0,25
Batasan Hills,,2,5.8713,166477,82905,83572,10402,5347,5055,10144,5202,4942,20546,10549,9997,37086,19076,18010,97152,48292,48860,11693,4988,6705,837,216,621,20546,57632,28354.4,20060.0,4731,3416.6,120.5,805.8,28.4,2.84,99.2,29.35,17432,45276,385.0,127640.0,34918.0,3.66,1.08,18.23,5.35,3.658,3.69,0.16,1492.0,671.0,821.0,901,57,958
