Name of Facility,Address,District,Category,Has Pharmacy,latitude,longitude
Novaliches District Hospital,"683 Quirino Highway, Barangay San Bartolome, Novaliches",District 5,QC LGU-RUN HOSPITALS,FALSE,14.700917618923800,121.03473551346400
Quezon City General Hospital,"Seminary Road, Barangay Bahay Toro, Project 8, QCGH",District 1,QC LGU-RUN HOSPITALS,FALSE,14.661408761312000,121.01859895379400
Rosario Maclang Bautista General Hospital,IBP Road Batasan Hills,District 2,QC LGU-RUN HOSPITALS,FALSE,14.686174549848700,121.08969467286900
National Children’s Hospital,"264 E. Rodriguez Sr. Avenue, Quezon City, Philippines",District 4,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.620622174983400,121.02077961346800
Philippine Orthopedic Center,Maria Clara cor. Banawe Street,District 1,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.627784387938600,121.00328423075500
Quirino Memorial Medical Center,"JP Rizal cor. P. Tuazon Sts, Project 4",District 3,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.622395935845100,121.07307349229200
Lung Center of the Philippines,"Quezon Avenue, Barangay Central, Diliman",District 4,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.647847271391400,121.04550327872900
Philippine Children’s Medical Center,"Quezon Avenue cor. Sen. Miriam Defensor-Santiago Avenue, Bagong Pag-asa",District 1,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.647909092339500,121.04160759811700
National Kidney and Transplant Institute,"East Avenue, Diliman",District 4,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.647536723494900,121.04725368434200
Philippine Heart Center,"East Avenue, Diliman",District 4,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.647536723494900,121.04725368434200
East Avenue Medical Center,"East Avenue, Diliman",District 4,NATIONAL GOVERNMENT-OWNED HOSPITALS LOCATED IN QUEZON CITY,FALSE,14.647536723494900,121.04725368434200
Bago Bantay,"84 Sto. Niño St., Brgy. Alicia",District 1,HEALTH CENTER,FALSE,14.70556838219450,121.09775706008600
Bagong Pag-asa,"36 Road 9 cor. Road 10, Brgy. Bagong Pag-asa",District 1,HEALTH CENTER,FALSE,14.66229805747790,121.03461229358200
Balingasa,"26 J. Aquino Cruz St., Brgy. Balingasa",District 1,HEALTH CENTER,FALSE,14.648366775510100,121.00458832894300
La Loma,"225 Mariveles St., Brgy. Paang Bundok",District 1,HEALTH CENTER,FALSE,14.627248844053200,120.9910780901960
Masambong,"8 Malac St., Brgy. Masambong",District 1,HEALTH CENTER,FALSE,14.640861123457300,121.01152982094800
Paltok,"14 Matias St., Brgy. Paltok",District 1,HEALTH CENTER,TRUE,14.642727812303200,121.02228667593900
Mercedes de Joya,"Dapitan cor. Mayon St., Brgy. Sta. Teresita",District 1,HEALTH CENTER,FALSE,14.622250832153200,121.00007996373800
Project 6,"58 Alley 3, Brgy. Project 6",District 1,HEALTH CENTER,FALSE,14.66202953310930,121.04039205917800
Project 7,"39 Bansalangin St., Brgy Veterans Village",District 1,HEALTH CENTER,FALSE,14.654521110040700,121.02382285380400
San Antonio,"38 San Jose, St. Brgy. San Antonio",District 1,HEALTH CENTER,TRUE,14.648948110116700,121.01685023450500
San Francisco Super,H. Francisco cor. San Vicente St. Brgy Damayan,District 1,HEALTH CENTER,FALSE,14.639569138818500,121.01504282199800
San Jose,"27 Tinagan St., Brgy. San Jose",District 1,HEALTH CENTER,FALSE,14.63962466209570,120.99452803900500
Toro Hills,"Road 11, Brgy. Bahay Toro",District 1,HEALTH CENTER,FALSE,14.664523763779200,121.0212528178900
Bagong Silangan,"Bonifacio St., Brgy. Bagong Silangan",District 2,HEALTH CENTER,FALSE,14.697635492416500,121.11077286656300
Batasan Hills Annex,"Bill cor. Saret St., Brgy. Batasan Hills",District 2,HEALTH CENTER,FALSE,14.687000622318900,121.09907664866000
Batasan Hills Super,"2 IBP Road, Brgy. Batasan Hills",District 2,HEALTH CENTER,FALSE,14.686378879073600,121.08840609438500
Betty Go Belmonte Super,"2nd Flr. 12 Artillery Road, Brgy. Holy Spirit",District 2,HEALTH CENTER,TRUE,14.678445466458500,121.0727924148880
