QC Care Mapping - Demand Indicators Codebook,,,,,,,
One row per indicator. Mirrors the Viet Nam project format (Romain's indicator list).,,,,,,,
,,,,,,,
Indicator Name,Variable Name,Full Description,Calculation / Definition,Unit of Measurement,Level,Source,Status
Barangay PSGC code,psgc_code,Official PSA geographic identifier for the barangay; join key to supply and accessibility layers.,Direct from PSA standard geographic code list.,code,ADM3,PSA,pending (to be filled)
Barangay name,barangay,Barangay name (canonical spelling used across all demand outputs).,Direct.,text,ADM3,PSA 2020 CPH,final
District,district,Congressional district (1 to 6).,Direct.,integer,ADM3,PSA,final
Administrative area,area_km2,Barangay land area in square kilometres.,Derived from barangay polygon geometry (EPSG:32651).,km2,ADM3,QC barangay polygons,final
Total population,pop_census,Total resident population per barangay.,Sum of all single-year age counts (Table 30).,persons,ADM3,PSA 2020 CPH (Table 30),final
Male population,pop_male,Male resident population per barangay.,Sum of male single-year age counts.,persons,ADM3,PSA 2020 CPH (Table 30),final
Female population,pop_female,Female resident population per barangay.,Sum of female single-year age counts.,persons,ADM3,PSA 2020 CPH (Table 30),final
Children 0 to 2,age_0_2,Population aged 0 to 2 (nursery / infant-toddler care demand).,"Sum of single-year ages 0, 1, 2.",persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 0 to 2, male",age_0_2_m,Male population aged 0 to 2.,Sum of male ages 0 to 2.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 0 to 2, female",age_0_2_f,Female population aged 0 to 2.,Sum of female ages 0 to 2.,persons,ADM3,PSA 2020 CPH (Table 30),final
Children 3 to 5,age_3_5,Population aged 3 to 5 (pre-school / kindergarten care demand).,"Sum of single-year ages 3, 4, 5.",persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 3 to 5, male",age_3_5_m,Male population aged 3 to 5.,Sum of male ages 3 to 5.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 3 to 5, female",age_3_5_f,Female population aged 3 to 5.,Sum of female ages 3 to 5.,persons,ADM3,PSA 2020 CPH (Table 30),final
Children 0 to 5 (early childhood),age_0_5,Population aged 0 to 5; combined early-childhood care demand (nursery + pre-school). Headline childcare demand band.,age_0_2 + age_3_5.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 0 to 5, male",age_0_5_m,Male population aged 0 to 5.,age_0_2_m + age_3_5_m.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 0 to 5, female",age_0_5_f,Female population aged 0 to 5.,age_0_2_f + age_3_5_f.,persons,ADM3,PSA 2020 CPH (Table 30),final
Children 6 to 17,age_6_17,School-age population aged 6 to 17.,Sum of single-year ages 6 to 17.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 6 to 17, male",age_6_17_m,Male population aged 6 to 17.,Sum of male ages 6 to 17.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Children 6 to 17, female",age_6_17_f,Female population aged 6 to 17.,Sum of female ages 6 to 17.,persons,ADM3,PSA 2020 CPH (Table 30),final
Working-age population 18 to 59,age_18_59,Population aged 18 to 59 (project working-age band).,Sum of single-year ages 18 to 59.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Working-age population 18 to 59, male",age_18_59_m,Male population aged 18 to 59.,Sum of male ages 18 to 59.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Working-age population 18 to 59, female",age_18_59_f,Female population aged 18 to 59.,Sum of female ages 18 to 59.,persons,ADM3,PSA 2020 CPH (Table 30),final
Older persons 60+,age_60plus,Resident population aged 60 and above (RA 9994 senior citizen threshold).,Sum of single-year ages 60 and over.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Older persons 60+, male",age_60plus_m,Male population aged 60 and above.,Sum of male ages 60 and over.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Older persons 60+, female",age_60plus_f,Female population aged 60 and above.,Sum of female ages 60 and over.,persons,ADM3,PSA 2020 CPH (Table 30),final
Oldest old 80+,age_80plus,Resident population aged 80 and above; the oldest-old group with the most intensive eldercare needs.,Sum of single-year ages 80 and over.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Oldest old 80+, male",age_80plus_m,Male population aged 80 and above.,Sum of male ages 80 and over.,persons,ADM3,PSA 2020 CPH (Table 30),final
"Oldest old 80+, female",age_80plus_f,Female population aged 80 and above.,Sum of female ages 80 and over.,persons,ADM3,PSA 2020 CPH (Table 30),final
Children 0 to 5 (childcare demand),children_0_5_childcare,Combined early-childhood care demand population.,age_0_2 + age_3_5.,persons,ADM3,PSA 2020 CPH (Table 30),final
Children 0 to 17 (all children),children_0_17_total,Total child population.,age_0_2 + age_3_5 + age_6_17.,persons,ADM3,PSA 2020 CPH (Table 30),final
Population density,pop_density_km2,Residents per square kilometre.,pop_census / area_km2.,persons/km2,ADM3,PSA 2020 CPH + polygons,final
