barangay,Childcare,Health centers,Long-term care and rehabilitation services,Older persons care,Quezon City satellite offices for services,Schools,Trainings,Total,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,child_woman_ratio,pop_cbms_secondary,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,ratio_child,ratio_childcare,ratio_childcare_f,ratio_childcare_m,ratio_old_60,ratio_old_60_f,ratio_old_60_m,ratio_pwd,ratio_school_3_5,ratio_school_3_5_f,ratio_school_3_5_m,ratio_school_6_17,ratio_school_6_17_f,ratio_school_6_17_m,ratio_old_80,ratio_old_80_f,ratio_old_80_m,ratio_pop_health,ratio_pop_health_f,ratio_pop_health_m,ratio_child_health,ratio_child_health_f,ratio_child_health_m,ratio_old_health,ratio_old_health_f,ratio_old_health_m,ratio_pwd_health,domestic_workers_female,domestic_workers_male,domestic_workers_total
Alicia,1,1,0,0,0,2,0,4,,1,0.1147,6119,2998,3121,300,180,120,304,144,160,604,324,280,1160,574,586,3814,1871,1943,541,229,312,48,12,36,604,1764,53347.9,949.0,269,8273.8,155.1,2345.2,44.0,4.4,96.1,31.75,289.4,4115.0,3.42,1.15,17.61,1.5,3.329,6.34,0.5,50.0,24.0,26.0,1.655629139,1.655629139,3.571428571,3.086419753,0.0,0.0,0.0,0.0,6.578947368,12.5,13.88888889,1.724137931,3.412969283,3.484320557,0.0,0.0,0.0,0.1634253963,0.320410125,0.3335557038,1.655629139,3.571428571,3.086419753,1.848428835,3.205128205,4.366812227,3.717472119,4.0,0.0,4.0
Amihan,1,0,0,0,0,1,0,2,,3,0.1295,3513,1691,1822,147,77,70,128,69,59,275,146,129,575,304,271,2169,1045,1124,494,196,298,76,24,52,275,850,27127.4,1078.0,278,8324.3,306.9,2146.7,79.1,7.91,92.8,32.0,243.9,2258.0,3.38,1.17,21.71,3.29,3.364,6.99,0.45,38.0,18.0,20.0,3.636363636,3.636363636,7.751937984,6.849315068,0.0,0.0,0.0,0.0,7.8125,16.94915254,14.49275362,1.739130435,3.6900369,3.289473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Apolonio Samson,3,2,0,0,0,2,0,7,,6,1.9227,33629,16978,16651,2191,1113,1078,2078,1027,1051,4269,2140,2129,6776,3492,3284,20353,10388,9965,2231,958,1273,138,45,93,4269,11045,17490.5,4228.0,1088,2199.0,125.7,565.9,32.4,3.24,102.0,29.63,393.7,27887.0,3.38,1.15,40.08,7.93,3.484,10.47,0.87,569.0,231.0,338.0,0.7027406887,0.7027406887,1.409112259,1.401869159,0.0,0.0,0.0,0.0,0.9624639076,1.902949572,1.947419669,0.2951593861,0.6090133983,0.5727376861,0.0,0.0,0.0,0.05947247911,0.1201129061,0.1177995052,0.4684937925,0.9394081729,0.9345794393,0.896458987,1.571091909,2.087682672,1.838235294,16.0,0.0,16.0
Baesa,5,2,0,0,0,5,0,12,,6,1.9513,55319,28107,27212,3574,1932,1642,3630,1902,1728,7204,3834,3370,12550,6471,6079,31858,16148,15710,3707,1654,2053,258,83,175,7204,19754,28349.8,6090.0,1475,3121.0,110.1,755.9,26.7,2.67,103.3,28.4,405.4,42254.0,3.36,1.04,26.84,3.12,3.396,15.28,0.95,880.0,378.0,502.0,0.6940588562,0.6940588562,1.483679525,1.304121022,0.0,0.0,0.0,0.0,1.377410468,2.893518519,2.628811777,0.3984063745,0.8225037013,0.7726781023,0.0,0.0,0.0,0.03615394349,0.07349698662,0.07115665137,0.2776235425,0.5934718101,0.521648409,0.5395198274,0.9741841208,1.209189843,1.355932203,3.0,0.0,3.0
Bagbag,5,1,0,0,0,19,0,25,,5,2.0287,64545,32485,32060,4075,2110,1965,3729,1956,1773,7804,4066,3738,14362,7504,6858,37360,18818,18542,5019,2097,2922,383,113,270,7804,22166,31815.9,7303.0,2078,3599.8,113.1,1024.3,32.2,3.22,101.3,28.73,377.4,48229.0,3.78,1.07,30.78,13.57,4.003,7.09,0.19,783.0,304.0,479.0,0.6406970784,0.6406970784,1.337613697,1.229709788,0.0,0.0,0.0,0.0,5.095199785,10.71630006,9.713701431,1.322935524,2.770487022,2.531982942,0.0,0.0,0.0,0.01549306685,0.03119151591,0.03078343851,0.1281394157,0.2675227394,0.2459419577,0.1992428771,0.3422313484,0.4768717215,0.4812319538,2.0,0.0,2.0
Bagong Lipunan ng Crame,1,0,3,0,0,8,0,12,,4,0.912,13630,6518,7112,581,305,276,585,300,285,1166,605,561,2045,1053,992,9280,4422,4858,1139,438,701,105,36,69,1166,3211,14945.2,1636.0,520,1793.9,120.0,570.2,38.2,3.82,91.6,35.64,230.3,4204.0,2.95,1.08,20.93,0.49,1.981,3.65,0.07,55.0,23.0,32.0,0.8576329331,0.8576329331,1.782531194,1.652892562,0.0,0.0,0.0,5.769230769,13.67521368,28.07017544,26.66666667,3.91198044,8.064516129,7.597340931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0
Bagong Pag-asa,2,2,7,0,0,9,0,20,,1,1.0975,29221,14643,14578,1929,975,954,1684,878,806,3613,1853,1760,5504,2786,2718,17954,9106,8848,2150,898,1252,194,51,143,3613,9117,26625.1,3844.0,1013,3502.5,131.5,923.0,34.7,3.47,100.4,30.28,377.4,15777.0,3.08,1.01,30.61,2.87,2.981,12.94,3.95,410.0,194.0,216.0,0.5535566012,0.5535566012,1.136363636,1.079330815,0.0,0.0,0.0,6.910167818,5.344418052,11.1662531,10.25056948,1.635174419,3.311258278,3.230437904,0.0,0.0,0.0,0.06844392731,0.1371930306,0.1365840333,0.5535566012,1.136363636,1.079330815,0.9302325581,1.597444089,2.227171492,1.974333662,1.0,0.0,1.0
Bagong Silangan,9,2,0,0,0,33,0,44,,2,5.4203,106872,54178,52694,7532,3972,3560,7071,3699,3372,14603,7671,6932,25659,13288,12371,59991,30346,29645,6619,2873,3746,517,155,362,14603,40262,19717.0,8593.0,2212,1585.3,80.4,408.1,20.7,2.07,102.8,27.74,444.7,91252.0,3.77,1.05,18.61,6.26,3.716,4.37,0.58,1368.0,507.0,861.0,0.6163117168,0.6163117168,1.298326601,1.173249902,0.0,0.0,0.0,0.0,4.666949512,9.786476868,8.921330089,1.286098445,2.667528898,2.483443709,0.0,0.0,0.0,0.0187139756,0.03795498539,0.0369153531,0.1369581593,0.2885170225,0.2607222005,0.3021604472,0.5339028297,0.6961364427,0.904159132,182.0,8.0,190.0
Bagumbayan,1,0,3,0,0,10,0,14,,3,1.4179,22147,10974,11173,942,491,451,839,450,389,1781,941,840,3235,1663,1572,15041,7456,7585,2090,914,1176,193,68,125,1781,5016,15619.6,2681.0,757,1890.8,121.1,533.9,34.2,3.42,98.2,34.25,221.8,4078.0,2.81,1.09,37.23,1.17,2.09,5.8,0.14,136.0,68.0,68.0,0.5614823133,0.5614823133,1.19047619,1.062699256,0.0,0.0,0.0,3.963011889,11.91895113,25.70694087,22.22222222,3.091190108,6.361323155,6.013229104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Bagumbuhay,1,1,0,0,0,1,0,3,,3,0.2353,6333,3047,3286,294,151,143,307,160,147,601,311,290,1111,561,550,3894,1889,2005,727,286,441,78,20,58,601,1712,26914.6,1259.0,367,5350.6,198.8,1559.7,58.0,5.8,92.7,31.66,282.5,3116.0,3.55,1.07,29.95,4.56,3.179,1.87,0.0,74.0,31.0,43.0,1.663893511,1.663893511,3.448275862,3.215434084,0.0,0.0,0.0,0.0,3.25732899,6.802721088,6.25,0.900090009,1.818181818,1.782531194,0.0,0.0,0.0,0.1579030475,0.3043213634,0.3281916639,1.663893511,3.448275862,3.215434084,1.375515818,2.267573696,3.496503497,2.72479564,15.0,1.0,16.0
