Barangay,PWDs,Population (2020 Census),Coverage,District
Alicia,269,6119,4%,District 1
Bagong Pag-Asa,1013,29221,3%,District 1
Bahay Toro,2161,59576,4%,District 1
Balingasa,577,19244,3%,District 1
Bungad,369,7014,5%,District 1
Damar,83,952,9%,District 1
Damayan,320,6007,5%,District 1
Del Monte,401,10236,4%,District 1
Katipunan,293,10508,3%,District 1
Lourdes,218,4410,5%,District 1
Maharlika,199,4332,5%,District 1
Manresa,449,17159,3%,District 1
Mariblo,162,3433,5%,District 1
Masambong,360,8779,4%,District 1
N.S. Amoranto,325,5850,6%,District 1
Nayong Kanluran,117,2456,5%,District 1
Paang Bundok,222,4806,5%,District 1
Pag-Ibig Sa Nayon,163,5915,3%,District 1
Paltok,616,18117,3%,District 1
Paraiso,149,3537,4%,District 1
Phil-Am,167,2515,7%,District 1
Project 6,615,11832,5%,District 1
Ramon Magsaysay,590,14321,4%,District 1
Saint Peter,204,4049,5%,District 1
Salvacion,271,6681,4%,District 1
San Antonio,811,22229,4%,District 1
San Isidro Labrador,237,6243,4%,District 1
San Jose,234,5844,4%,District 1
Santa Cruz,202,3945,5%,District 1
Santa Teresita,410,11752,3%,District 1
Santo Cristo,725,25697,3%,District 1
Santo Domingo,390,11353,3%,District 1
Sienna,132,1842,7%,District 1
Talayan,131,4402,3%,District 1
Vasra,352,7334,5%,District 1
Veterans Village,646,12693,5%,District 1
West Triangle,240,2416,10%,District 1
Bagong Silangan,2212,106872,2%,District 2
Batasan Hills,4731,166477,3%,District 2
Commonwealth,"4,692",213142,2%,District 2
Holy Spirit,"3,411",111768,3%,District 2
Payatas,"3,507",139640,3%,District 2
Milagrosa,353,6775,5%,District 3
Pansol,"1,220",35234,3%,District 3
Amihan,278,3513,8%,District 3
Bagumbayan,757,22147,3%,District 3
Bagumbuhay,367,6333,6%,District 3
Bayanihan,58,613,9%,District 3
Blue Ridge A,74,1534,5%,District 3
Blue Ridge B,59,1071,6%,District 3
Camp Aguinaldo,206,3269,6%,District 3
Dioquino Zobel,95,1789,5%,District 3
Duyan-Duyan,204,3357,6%,District 3
E. Rodriguez,889,17285,5%,District 3
East Kamias,410,6389,6%,District 3
Escopa I,131,2110,6%,District 3
Escopa II,94,1683,6%,District 3
Escopa III,465,7985,6%,District 3
Escopa IV,98,1837,5%,District 3
Libis,171,4208,4%,District 3
Loyola Heights,"1,111",20907,5%,District 3
Mangga,21,913,2%,District 3
Marilag,758,12534,6%,District 3
Masagana,243,4166,6%,District 3
Matandang Balara,"2,429",69397,3%,District 3
Quirino 2-A,237,4622,5%,District 3
Quirino 2-B,242,3922,6%,District 3
Quirino 2-C,190,3189,6%,District 3
Quirino 3-A,78,1056,7%,District 3
Quirino 3-B (Claro),518,3885,13%,District 3
Saint Ignatius,115,2054,6%,District 3
San Roque,"1,051",19079,6%,District 3
Silangan,262,4814,5%,District 3
Socorro,"1,430",22198,6%,District 3
Tagumpay,157,2257,7%,District 3
Ugong Norte,317,6301,5%,District 3
Villa Maria Clara,143,2405,6%,District 3
West Kamias,266,4044,7%,District 3
White Plains,185,3558,5%,District 3
Doña Aurora,227,4221,5%,District 4
Bagong Lipunan Ng Crame,520,13630,4%,District 4
Botocan,270,6643,4%,District 4
Central,725,19331,4%,District 4
Damayang Lagi,550,19364,3%,District 4
Don Manuel,201,1728,12%,District 4
Doña Imelda,572,11701,5%,District 4
Doña Josefa,140,1857,8%,District 4
Horseshoe,157,2847,6%,District 4
Immaculate Concepcion,421,7975,5%,District 4
Kalusugan,242,4721,5%,District 4
Kamuning,710,12139,6%,District 4
Kaunlaran,748,12101,6%,District 4
Kristong Hari,214,5979,4%,District 4
Krus Na Ligas,897,21287,4%,District 4
Laging Handa,371,4804,8%,District 4
Malaya,187,2588,7%,District 4
Mariana,561,11471,5%,District 4
Obrero,430,9500,5%,District 4
Old Capitol Site,248,1319,19%,District 4
Paligsahan,275,3518,8%,District 4
Pinagkaisahan,311,4357,7%,District 4
Pinyahan,"1,248",21724,6%,District 4
Roxas,577,10665,5%,District 4
Sacred Heart,347,6089,6%,District 4
San Isidro Galas,291,6550,4%,District 4
San Martin De Porres,503,11632,4%,District 4
San Vicente,283,7160,4%,District 4
Santo Niño,338,7070,5%,District 4
Santol,360,6410,6%,District 4
Sikatuna Village,367,6094,6%,District 4
South Triangle,864,14451,6%,District 4
Tatalon,"1,625",55380,3%,District 4
Teachers Village East,231,2401,10%,District 4
Teachers Village West,238,2984,8%,District 4
U.P. Campus,"1,110",47122,2%,District 4
U.P. Village,233,3167,7%,District 4
Valencia,530,10877,5%,District 4
Bagbag,2078,64545,3%,District 5
Capri,360,12903,3%,District 5
Fairview,"1,983",61498,3%,District 5
Greater Lagro,"1,154",23456,5%,District 5
Gulod,"2,103",62505,3%,District 5
Kaligayahan,"2,132",60421,4%,District 5
Nagkaisang Nayon,"1,582",53781,3%,District 5
North Fairview,"1,328",44352,3%,District 5
Novaliches Proper,568,15435,4%,District 5
Pasong Putik Proper (Pasong Putik),"1,305",39830,3%,District 5
San Agustin,"1,061",25336,4%,District 5
San Bartolome,"2,119",51055,4%,District 5
Santa Lucia,858,28215,3%,District 5
Santa Monica,"1,399",51785,3%,District 5
Apolonio Samson,1088,33629,3%,District 6
Baesa,1475,55319,3%,District 6
Balon Bato,285,6991,4%,District 6
Culiat,2557,67747,4%,District 6
New Era ,343,13090,3%,District 6
Pasong Tamo,"3,460",110572,3%,District 6
Sangandaan,"1,019",21061,5%,District 6
Sauyo,"2,277",76266,3%,District 6
Talipapa,"1,418",38921,4%,District 6
Tandang Sora,"2,876",83097,3%,District 6
Unang Sigaw,177,6508,3%,District 6
