Type of Disability,Male,% of Male,Female,% of Female
Physical Disability,"19,601",53%,"17,610",47%
Psychosocial Disablity,"10,816",53%,"9,476",47%
Learning Disability,"4,303",74%,"1,502",26%
Speech and Language Impairment,"3,897",67%,"1,943",33%
Visual Disablity,"3,500",51%,"3,316",49%
Intellectual Disability,"3,018",65%,"1,612",35%
Mental Disablity,"2,985",55%,"2,407",45%
Deaf/Hard of Hearing,"2,925",47%,"3,274",53%
Cancer,"2,089",20%,"8,155",80%
Rare Disease,505,29%,"1,250",71%
Total,"53,639",,"50,545",
