Type of Disability,2021,2022,2023,2024,2025,2026
Physical Disability,"5,711","10,821","8,232","6,232","4,754","1,461"
Psychosocial Disablity,"2,987","4,502","4,276","3,969","3,460","1,098"
Cancer,"1,682","2,359","2,327","1,883","1,484",509
Visual Disablity,"1,056","2,227","1,477","1,077",751,228
Deaf/Hard of Hearing,"1,185","1,896","1,330",925,622,241
Speech and Language Impairment,266,"1,293","1,285","1,322","1,255",419
Learning Disability,378,"2,342","1,509",891,563,122
Mental Disablity,580,"1,704","1,001",776,733,598
Intellectual Disability,131,"1,121","1,279","1,016",787,296
Rare Disease,289,396,345,346,288,91
Total,"14,265","28,661","23,061","18,437","14,697","5,063"
