District,Barangay,"0-5 
(Early Childhood)","6-17 
(School Age Children)","18-59 
(Working Age Adult)","60+ 
(Elderly)",Total
1,Alicia,282,727,"2,649",457,"4,115"
1,Bagong Pag-asa,"1,144","2,741","10,389","1,503","15,777"
1,Bahay Toro,"3,132","7,309","28,884","5,017","44,342"
1,Balingasa,824,"2,193","7,440","1,202","11,659"
1,Bungad,411,982,"3,337",662,"5,392"
1,Damayan,359,955,"3,058",478,"4,850"
1,Del Monte,464,"1,114","3,851",712,"6,141"
1,Katipunan,213,508,"2,185",315,"3,221"
1,Lourdes,0,4,13,1,18
1,Maharlika,85,476,"2,576",596,"3,733"
1,Manresa,"1,130","2,637","8,303",892,"12,962"
1,Mariblo,157,353,"1,263",274,"2,047"
1,Masambong,412,"1,154","4,136",738,"6,440"
1,N.S. Amoranto,182,427,"1,722",425,"2,756"
1,Nayong Kanluran,87,226,859,187,"1,359"
1,Paang Bundok,157,414,"1,827",442,"2,840"
1,Pag-ibig Sa Nayon,232,773,"2,942",449,"4,396"
1,Paltok,710,"1,741","5,954","1,269","9,674"
1,Paraiso,94,193,830,179,"1,296"
1,Phil-Am,56,132,"1,057",345,"1,590"
1,Project 6,596,"1,344","6,236","1,136","9,312"
1,Ramon Magsaysay,727,"1,863","7,329","1,220","11,139"
1,Saint Peter,4,16,110,33,163
1,Salvacion,241,630,"2,707",716,"4,294"
1,San Antonio,"1,339","3,507","11,675","2,107","18,628"
1,San Isidro Labrador,179,688,"3,218",680,"4,765"
1,San Jose,282,701,"2,588",468,"4,039"
1,Santa Cruz,158,405,"1,722",283,"2,568"
1,Santa Teresita,174,416,"1,818",383,"2,791"
1,Santo Cristo,539,"1,338","8,423","1,628","11,928"
1,Santo Domingo,531,"1,300","4,260",603,"6,694"
1,Sienna,1,2,17,2,22
1,Talayan,283,703,"2,076",357,"3,419"
1,Vasra,357,856,"2,922",336,"4,471"
1,Veterans Village,180,547,"2,924",979,"4,630"
1,West Triangle,31,93,707,183,"1,014"
2,Bagong Silangan,"8,749","19,685","55,555","7,263","91,252"
2,Batasan Hills,"11,021","26,368","79,682","10,569","127,640"
2,Commonwealth,"15,075","36,667","108,968","14,954","175,664"
2,Holy Spirit,"7,765","18,764","56,996","8,188","91,713"
2,Payatas,"12,067","29,276","79,689","9,529","130,561"
3,Amihan,140,297,"1,459",362,"2,258"
3,Bagumbayan,237,564,"2,739",538,"4,078"
3,Bagumbuhay,219,519,"1,939",439,"3,116"
3,Bayanihan,14,36,153,31,234
3,Blue Ridge A,41,103,380,60,584
3,Blue Ridge B,10,31,180,78,299
3,Camp Aguinaldo,91,273,718,32,"1,114"
3,Claro,107,315,"1,538",406,"2,366"
3,Dioquino Zobel,49,120,507,98,774
3,Duyan-duyan,62,196,728,128,"1,114"
3,E. Rodriguez,877,"2,072","7,919","1,176","12,044"
3,East Kamias,201,507,"1,748",376,"2,832"
