District,Barangay,Male,Female,Total,,
1,Alicia,"1,990","2,125","4,115",,
1,Bagong Pag-asa,"8,074","7,703","15,777",,
1,Bahay Toro,"21,958","22,384","44,342",,
1,Balingasa,"5,802","5,857","11,659",,
1,Bungad,"2,636","2,756","5,392",,
1,Damayan,"2,345","2,505","4,850",,
1,Del Monte,"3,054","3,087","6,141",,
1,Katipunan,"1,520","1,701","3,221",,
1,Lourdes,7,11,18,,
1,Maharlika,"1,765","1,968","3,733",,
1,Manresa,"6,534","6,428","12,962",,
1,Mariblo,988,"1,059","2,047",,
1,Masambong,"3,177","3,263","6,440",,
1,N.S. Amoranto,"1,325","1,431","2,756",,
1,Nayong Kanluran,635,724,"1,359",,
1,Paang Bundok,"1,397","1,443","2,840",,
1,Pag-ibig Sa Nayon,"2,194","2,202","4,396",,
1,Paltok,"4,714","4,960","9,674",,
1,Paraiso,638,658,"1,296",,
1,Phil-Am,651,939,"1,590",,
1,Project 6,"4,499","4,813","9,312",,
1,Ramon Magsaysay,"5,517","5,622","11,139",,
1,Saint Peter,77,86,163,,
1,Salvacion,"2,068","2,226","4,294",,
1,San Antonio,"9,194","9,434","18,628",,
1,San Isidro Labrador,"2,224","2,541","4,765",,
1,San Jose,"1,963","2,076","4,039",,
1,Santa Cruz,"1,271","1,297","2,568",,
1,Santa Teresita,"1,381","1,410","2,791",,
1,Santo Cristo,"5,509","6,419","11,928",,
1,Santo Domingo,"3,358","3,336","6,694",,
1,Sienna,9,13,22,,
1,Talayan,"1,719","1,700","3,419",,
1,Vasra,"2,198","2,273","4,471",,
1,Veterans Village,"2,194","2,436","4,630",,
1,West Triangle,420,594,"1,014",,
2,Bagong Silangan,"46,067","45,185","91,252",,
2,Batasan Hills,"63,679","63,961","127,640",,
2,Commonwealth,"87,919","87,745","175,664",,
2,Holy Spirit,"45,843","45,870","91,713",,
2,Payatas,"65,764","64,797","130,561",,
3,Amihan,"1,093","1,165","2,258",,
3,Bagumbayan,"1,979","2,099","4,078",,
3,Bagumbuhay,"1,506","1,610","3,116",,
3,Bayanihan,129,105,234,,
3,Blue Ridge A,270,314,584,,
3,Blue Ridge B,128,171,299,,
3,Camp Aguinaldo,551,563,"1,114",,
3,Claro,"1,112","1,254","2,366",,
3,Dioquino Zobel,374,400,774,,
3,Duyan-duyan,549,565,"1,114",,
3,E. Rodriguez,"5,989","6,055","12,044",,
3,East Kamias,"1,398","1,434","2,832",,
3,Escopa I,771,781,"1,552",,
3,Escopa II,670,698,"1,368",,
3,Escopa III,"3,786","3,689","7,475",,
3,Escopa IV,697,742,"1,439",,
3,Libis,"1,578","1,490","3,068",,
3,Loyola Heights,"4,231","4,644","8,875",,
3,Mangga,369,375,744,,
3,Marilag,"1,636","1,813","3,449",,
3,Masagana,588,700,"1,288",,
3,Matandang Balara,"20,799","21,332","42,131",,
3,Milagrosa,"1,134","1,237","2,371",,
3,Pansol,"13,364","13,623","26,987",,
3,Quirino 2-A,"1,421","1,620","3,041",,
3,Quirino 2-B,"1,034","1,099","2,133",,
3,Quirino 2-C,"1,103","1,140","2,243",,
3,Quirino 3-A,174,179,353,,
3,Saint Ignatius,226,314,540,,
3,San Roque,"4,780","5,108","9,888",,
3,Silangan,"1,045","1,069","2,114",,
3,Socorro,"4,967","5,497","10,464",,
3,Tagumpay,920,992,"1,912",,
3,Ugong Norte,233,319,552,,
3,Villa Maria Clara,646,768,"1,414",,
3,West Kamias,"1,106","1,112","2,218",,
3,White Plains,123,187,310,,
4,Bagong Lipunan Ng Crame,"2,006","2,198","4,204",,
4,Botocan,"3,272","3,243","6,515",,
4,Central,"6,130","6,027","12,157",,
4,Damayang Lagi,"4,917","4,692","9,609",,
4,Don Manuel,254,301,555,,
4,Doña Aurora,660,732,"1,392",,
4,Doña Imelda,"4,009","3,992","8,001",,
4,Doña Josefa,115,147,262,,
4,Horseshoe,450,475,925,,
4,Immaculate Concepcion,"1,527","1,580","3,107",,
4,Kalusugan,245,250,495,,
4,Kamuning,"2,738","2,970","5,708",,
4,Kaunlaran,"1,090","1,190","2,280",,
4,Kristong Hari,870,"1,004","1,874",,
4,Krus Na Ligas,"7,560","7,693","15,253",,
4,Laging Handa,842,"1,016","1,858",,
4,Malaya,"1,199","1,124","2,323",,
4,Mariana,316,366,682,,
4,Obrero,"3,177","3,269","6,446",,
4,Old Capitol Site,524,523,"1,047",,
4,Paligsahan,"1,597","1,717","3,314",,
4,Pinagkaisahan,"1,262","1,300","2,562",,
4,Pinyahan,"7,619","7,777","15,396",,
4,Roxas,"3,756","3,838","7,594",,
4,Sacred Heart,"1,537","1,674","3,211",,
4,San Isidro,"1,662","1,753","3,415",,
4,San Martin De Porres,"3,655","3,736","7,391",,
4,San Vicente,"3,152","3,148","6,300",,
4,Santo Niño,"1,957","1,952","3,909",,
4,Santol,"2,144","2,218","4,362",,
4,Sikatuna Village,861,999,"1,860",,
4,South Triangle,"3,167","3,375","6,542",,
4,Tatalon,"22,049","22,207","44,256",,
4,Teachers Village East,211,301,512,,
4,Teachers Village West,354,427,781,,
4,U.P. Campus,"21,797","21,239","43,036",,
4,U.P. Village,"1,022","1,225","2,247",,
4,Valencia,797,819,"1,616",,
5,Bagbag,"24,086","24,143","48,229",,
5,Capri,"5,901","5,795","11,696",,
5,Fairview,"20,734","21,611","42,345",,
5,Greater Lagro,"6,674","7,536","14,210",,
5,Gulod,"26,606","26,133","52,739",,
5,Kaligayahan,"22,269","23,229","45,498",,
5,Nagkaisang Nayon,"22,417","22,541","44,958",,
5,North Fairview,"15,371","15,733","31,104",,
5,Novaliches Proper,"6,138","6,192","12,330",,
5,Pasong Putik Proper,"14,849","15,031","29,880",,
5,San Agustin,"10,930","11,346","22,276",,
5,San Bartolome,"17,773","18,643","36,416",,
5,Santa Lucia,"11,734","11,529","23,263",,
5,Santa Monica,"21,280","21,276","42,556",,
6,Apolonio Samson,"14,082","13,805","27,887",,
6,Baesa,"21,223","21,031","42,254",,
6,Balon-Bato,"2,606","2,646","5,252",,
6,Culiat,"25,697","26,160","51,857",,
6,New Era,"5,942","4,818","10,760",,
6,Pasong Tamo,"41,159","41,492","82,651",,
6,Sangandaan,"8,455","8,935","17,390",,
6,Sauyo,"32,540","32,905","65,445",,
6,Talipapa,"11,471","12,278","23,749",,
6,Tandang Sora,"26,430","26,784","53,214",,
6,Unang Sigaw,"2,284","2,215","4,499",,
