disability_type,2021,2022,2023,2024,2025,2026
Physical Disability,5711,10821,8232,6232,4754.0,1461.0
Psychosocial Disablity,2987,4502,4276,3969,3460.0,1098.0
Cancer,1682,2359,2327,1883,1484.0,509.0
Visual Disablity,1056,2227,1477,1077,751.0,228.0
Deaf/Hard of Hearing,1185,1896,1330,925,622.0,241.0
Speech and Language Impairment,266,1293,1285,1322,1255.0,419.0
Learning Disability,378,2342,1509,891,563.0,122.0
Mental Disablity,580,1704,1001,776,733.0,598.0
Intellectual Disability,131,1121,1279,1016,787.0,296.0
Rare Disease,289,396,345,346,288.0,91.0
