Barangay,Senior Citizens,Population (2020 Census),District
Alicia,949,541,District 1
Bagong Pag-Asa,3844,2150,District 1
Bahay Toro,9276,5580,District 1
Balingasa,2616,1555,District 1
Bungad,1680,716,District 1
Damar,446,147,District 1
Damayan,1470,500,District 1
Del Monte,1779,950,District 1
Katipunan,796,799,District 1
Lourdes,915,715,District 1
Maharlika,768,621,District 1
Manresa,1988,1141,District 1
Mariblo,638,343,District 1
Masambong,1746,941,District 1
N.S. Amoranto (Gintong Silahis),1160,729,District 1
Nayong Kanluran,474,292,District 1
Paang Bundok,1225,594,District 1
Pag-Ibig Sa Nayon,741,503,District 1
Paltok,2724,1762,District 1
Paraiso,699,342,District 1
Phil-Am,783,450,District 1
Project 6,2598,1301,District 1
Ramon Magsaysay,2368,1186,District 1
Saint Peter,911,530,District 1
Salvacion,1421,930,District 1
San Antonio,3455,1939,District 1
San Isidro Labrador,1227,788,District 1
San Jose,1184,598,District 1
Santa Cruz,690,394,District 1
Santa Teresita,1581,1214,District 1
Santo Cristo,2614,2360,District 1
Santo Domingo (Matalahib),1684,925,District 1
Sienna,646,327,District 1
Talayan,687,424,District 1
Vasra,1341,438,District 1
Veterans Village,2392,1482,District 1
West Triangle,862,407,District 1
Bagong Silangan,8593,6619,District 2
Batasan Hills,20060,11693,District 2
Commonwealth,19348,13092,District 2
Holy Spirit,13765,8033,District 2
Payatas,15124,7417,District 2
Amihan,1078,494,District 3
Bagumbayan,2681,2090,District 3
Bagumbuhay,1259,727,District 3
Bayanihan,172,67,District 3
Blue Ridge A,336,188,District 3
Blue Ridge B,298,210,District 3
Camp Aguinaldo,216,83,District 3
Dioquino Zobel,341,145,District 3
Duyan-Duyan,728,377,District 3
E. Rodriguez,2907,1406,District 3
East Kamias,1310,748,District 3
Escopa I,388,225,District 3
Escopa II,280,148,District 3
Escopa III,1174,584,District 3
Escopa IV,309,175,District 3
Libis,584,343,District 3
Loyola Heights,2958,2067,District 3
Mangga,150,86,District 3
Marilag,2261,1582,District 3
Masagana,1033,581,District 3
Matandang Balara,9516,5571,District 3
Milagrosa,1352,847,District 3
Pansol,3744,2376,District 3
Quirino 2-A,1003,626,District 3
Quirino 2-B,910,541,District 3
Quirino 2-C,691,370,District 3
Quirino 3-A,262,94,District 3
Quirino 3-B (Claro),986,495,District 3
Saint Ignatius,434,351,District 3
San Roque,2877,1762,District 3
Silangan,897,518,District 3
Socorro,4866,2117,District 3
Tagumpay,453,170,District 3
Ugong Norte,1324,962,District 3
Villa Maria Clara,629,362,District 3
West Kamias,847,459,District 3
White Plains,792,575,District 3
Aurora,966,463,District 4
Bagong Lipunan Ng Crame,1636,1139,District 4
Botocan,1041,424,District 4
Central,2164,1111,District 4
Damayang Lagi,2075,1261,District 4
Don Manuel,653,163,District 4
Doña Imelda,2015,822,District 4
Doña Josefa,644,190,District 4
Horseshoe,589,302,District 4
Immaculate Concepcion,1329,721,District 4
Kalusugan,613,315,District 4
Kamuning,2763,1323,District 4
Kaunlaran,2572,1245,District 4
Kristong Hari,736,524,District 4
Krus Na Ligas,2954,1676,District 4
Laging Handa,1370,740,District 4
Malaya,638,259,District 4
Mariana,2334,1597,District 4
Obrero,1372,804,District 4
Old Capitol Site,698,84,District 4
Paligsahan,1075,433,District 4
Pinagkaisahan,1213,411,District 4
Pinyahan,3739,1674,District 4
Roxas,2468,1089,District 4
Sacred Heart,1367,671,District 4
San Isidro,1348,531,District 4
San Martin De Porres,1672,912,District 4
San Vicente,1124,570,District 4
Santo Niño,1623,718,District 4
Santol,1284,673,District 4
Sikatuna Village,1489,890,District 4
South Triangle,2262,1285,District 4
Tatalon,6498,3420,District 4
Teachers Village East,709,361,District 4
Teachers Village West,944,492,District 4
U.P. Campus,4008,3030,District 4
U.P. Village,1029,539,District 4
Valencia,1388,1180,District 4
Bagbag,7303,5019,District 5
Capri,1405,714,District 5
Fairview,7771,4907,District 5
Greater Lagro,4777,3547,District 5
Gulod,8118,4256,District 5
Kaligayahan,8181,5186,District 5
Nagkaisang Nayon,6241,3806,District 5
North Fairview,4795,3214,District 5
Novaliches Proper,2150,986,District 5
Pasong Putik Proper (Pasong Putik),4902,2827,District 5
San Agustin,3989,2170,District 5
San Bartolome,8039,4845,District 5
Santa Lucia,3572,2052,District 5
Santa Monica,6006,4138,District 5
Apolonio Samson,4228,2231,District 6
Baesa,6090,3707,District 6
Balong Bato,1114,614,District 6
Culiat,9110,5251,District 6
New Era ,965,674,District 6
Pasong Tamo,13515,7908,District 6
Sangandaan,4158,2191,District 6
Sauyo,8197,4959,District 6
Talipapa,5055,3324,District 6
Tandang Sora,11604,7773,District 6
Unang Sigaw,629,344,District 6
