barangay_id,barangay,total_polygons,C-1 MINOR COMMERCIAL ZONE,C-2 MAJOR COMMERCIAL ZONE,C-3 METROPOLITAN COMMERCIAL ZONE,CEMETERY,HISTORICAL SPOT AND SHRINE,I-1 LIGHT INTENSITY INDUSTRIAL ZONE,I-2 MEDIUM INTENSITY INDUSTRIAL ZONE,INSTITUTIONAL,PARKS AND OPEN SPACE,R-1 LOW DENSITY RESIDENTIAL ZONE,R-1-A LOW DENSITY RESIDENTIAL SUB-ZONE,R-2 MEDIUM DENSITY RESIDENTIAL ZONE,R-2-A MEDIUM DENSITY RESIDENTIAL SUB-ZONE,R-3 HIGH DENSITY RESIDENTIAL ZONE,ROAD,SOCIALIZED HOUSING,SPECIAL URBAN DEVELOPMENT ZONE,UTILITY,WATER,X
1,Alicia,46,2,,,,,,,2,,,,,,20,18,,,,1,3
2,Amihan,72,7,,,,,,,1,,,,4,,28,25,,,,7,
3,Apolonio Samson,188,,,,,,31,55,2,,,,,,2,57,,11,24,6,
4,Baesa,341,,,,1,,,93,1,,,,,,113,105,,,25,2,1
5,Bagbag,577,14,,,17,,,43,,,,,,201,93,184,,,10,15,
6,Bagong Pag-asa,134,12,13,,,,,,2,,,,,,51,49,,5,,2,
7,Bagong Silangan,660,,,,,,,,9,,,,201,,2,303,95,10,,36,4
8,Bagumbayan,115,,1,13,,,,18,3,,13,,,,,39,7,,,21,
9,Bagumbuhay,98,11,4,,,,,,5,,,,,,38,27,,,,13,
10,Bahay Toro,588,67,72,,,1,,11,8,,,,200,,1,192,7,,,26,3
11,Balingasa,96,,,,,,,24,2,4,,,,,,36,,23,,7,
12,Balong-bato,85,,,,,,,2,1,,,,,,2,34,,44,,2,
13,Batasan Hills,925,19,11,1,,,,,18,,,,311,,22,494,29,,8,10,2
14,Bayanihan,13,5,,,,,,,1,,,,,,,6,,,,1,
15,Bagong Lipunan ng Crame,139,14,21,,,,,,5,,,,17,,25,50,,,,5,2
16,Blue Ridge A,27,4,,,,,,,,,10,,,,,12,1,,,,
17,Blue Ridge B,26,,,,,,,,1,,,14,,,,9,,,,2,
18,Botocan,16,,1,,,,,,,,,,6,,,3,,1,5,,
19,Bungad,87,,15,,,,16,,2,,,,,,9,41,,,,4,
20,Camp Aguinaldo,10,,,,,,,,4,,,,,,,6,,,,,
21,Capri,135,,,,,,,,,,,,,,,53,76,,,6,
22,Central,116,5,14,,,,,,2,24,,,2,,17,45,,4,,3,
23,Commonwealth,681,3,30,,,,,,2,,,29,19,79,106,300,52,24,5,32,
24,Culiat,700,5,82,,,,,,6,,37,20,320,,,188,,,1,41,
25,Damar,48,,,,,,,,,,,,36,,,12,,,,,
26,Damayan,86,,13,,,,,,1,,,,,,28,38,,,,6,
27,Damayang Lagi,129,,4,,,,,,4,,,48,27,,,36,,,,10,
28,Del Monte,93,2,6,,,,7,,5,,,,,,32,36,,,,5,
29,Dioquino Zobel,12,3,,,,,,,,,,,,,4,5,,,,,
30,Don Manuel,54,,7,,,,,,,,,,,,22,25,,,,,
31,Doña Aurora,56,,8,,,,,,2,,,,,,22,24,,,,,
32,Doña Imelda,100,,35,1,,,,,,,,,22,,,31,,,6,5,
33,Doña Josefa,46,3,11,,,,,,1,,,,,,10,14,,7,,,
34,Duyan-duyan,46,6,4,,,,,,1,,,,,,14,17,,,,4,
35,E. Rodriguez,146,,67,,,,,,3,,,,,,7,48,,,14,7,
36,East Kamias,91,,23,,,,,,,,,,,,27,28,,,9,4,
37,Escopa 1,11,,,,,,,,,,,,,,,6,5,,,,
38,Escopa 2,50,,,,,,,,,,,,,,,27,23,,,,
39,Escopa 3,38,,,,,,,,2,,,,,,1,15,20,,,,
40,Escopa 4,38,,,,,,,,,,,,,,,21,17,,,,
41,Fairview,535,62,21,,,,,,8,,,,,227,10,186,,,13,8,
42,Greater Lagro,596,4,42,24,,,,,2,,,,109,155,5,246,,,,9,
43,Gulod,277,,22,3,,,,1,,,,,,,130,97,,,,24,
44,Holy Spirit,512,29,14,,,,,,3,,,47,30,29,108,232,,,3,17,
45,Horseshoe,65,2,2,,,,,,,,,,33,,,17,1,,2,8,
46,Immaculate Concepcion,151,,66,,,,,,9,,,,16,,,46,,,9,5,
